Title,Star Rating,Review,Helpfulness
 Great product...,5,"Safflower oil is very good for you as it is high in Linoleic Acid, which among other things, helps get rid of some of the belly fat. It is tasteless and easy to swallow by itself or put it on salads or anything you are cooking. …",12 out of 13 users found this review helpful
 Huge Box Of Treats!,5,"I got this so I could give my daughter a little surprise treat in her lunch. The variety of this box is nice, different than what is in the stores around where I live. The treats arrived in perfect condition and is such a big box, it should last while!!! …",13 out of 15 users found this review helpful
 most addictive way to eat veggies...,5,at least I pretend that they're healthy. These are SO TASTY...and not a chemical burn...some time ago the company revamped the recipe and it no longer includes MSG or other scary multi-syllable preservatives. I am obsessed with this snack and they're tough to find locally. Check 'em out. …,30 out of 32 users found this review helpful
 Awesomelicious,5,"I ate this rabbit raw while wearing my Three Wolf Moon t-shirt and my roommate's head consequently exploded from the pure awesomeness of it. My landlord now pays ME to live in his apartments, and Union Electric has hooked alligator clips to my nipples in order to supply most of southeast Missouri with power. I am all that is man. Thank you, greasy mail-order bunny meat! …",53 out of 66 users found this review helpful
 $17 for 2 cans?,1,"Edit: It seems the error has been corrected. This listing used to be $17 for 2 cans of beans. I've received a couple negative comments by people who didn't realize that the listing changed AFTER I wrote my review. I'm editing my original review so I don't get any more asinine comments. I've bought these beans before from the store, and they're decent refried beans. I like them every so often, even though they do have a lot of salt. They're worth a try. …",9 out of 14 users found this review helpful
 Rice Krispies Treats Cereal. Best Thing. EVER,5,"First off i was a bit weary due to other reviews sayin the cereal was expiring soon. My cereal came packed very well, 4 boxes of beautiful rice krispies treats cereal which didnt expire for about 8 months. opening the first box was epic...those first big chunks were huge! and despite shipping the cereal was in great condition. Now, as someone who eats cereal once maybe twice a week, i tell you this. all 4 boxes were gone in a week. This cereal is simply AMAZING. childhood memory lane. i ordered frankenberry and booberry afterwards too, but this cereal is 10x better then both. Fortunately, i found a specialty store which carries this cereal :) but had i not, i would be spending alot more money on Superstore. …",26 out of 26 users found this review helpful
 Greenies are not digestible -your puppy will vomit and have diarrhea and will get very sick,1,"I made the mistake to give a Greeny to my puppy without reading reviews about this product. It was a bad idea. The poor puppy got very sick after eating a Greenie. He vomited and had diarrhea. I took him to urgent care and the Vet's verdict(informed on the X-ray)was: ""a Greenie got stocked in his intestine"". I was very lucky to get the puppy recovered with medicine. But surgery was being considered by the Vet (mind about $7,000). On the worst case scenario, my puppy could have died because his intestinal system was obstructed for 3-4 days. After this unfortunate incident, I looked-up for reviews about this unsafe product -and not to be surprised- I found several concerning stories like mine. I also learned that few dog owners have sued Greenies because they believe it was the reason that provoked an obstruction to their pets digestive system, sadly resulting on death. ""Roughly 315 million Greenies were sold last year, but the breath-freshening treats have been blamed for at least 13 pet deaths and more than two dozen complaints have been filed with the Feds"". Dogster-com Note that as the product label says: Greenies are not 100% digestible, and if you read with more attention, the label has a Warning saying that: dogs may get sick or even chock when ingesting a Greenie! At the end of the day, it's hard to believe that there are companies like Grennies that don't address these issues, and just care about marketing and profiting -not so much about producing a healthy, safe treat for our best buddies. In any case, I'd recommend to ask your Vet or read more dog owners reviews before giving Greenies to your dog. …",9 out of 19 users found this review helpful
" Most of the sweet, none of the yuk",4,"I can taste artificial sweeteners from across the street. Hate the stuff. In a restaurant I sent a Coke back three times because they kept bringing me Diet, assuring me it was the real thing. After the third time I suggested they check their hoses. Sure enough, they were switched. Hate the stuff. One sip and my mouth says, ""Yuk!"" for hours. This doesn't even get into the fact that aspertame isn't fit for human consumption. Enter Xylitol. I bought a box of packets to use at the office where I drink coffee. I find I need two Xylitol packs to replace one sugar. No matter. It tastes fine. I detect no aftertaste. And it's actually good for my teeth and blood sugar level. This is something I can like! My only complaint was the shipping packaging. The box of packets was stuffed into an envelope which, of course, arrived flattened. Packets were all over the inside. I reformed the box and reloaded it. No biggie, but putting a rectangular cardboard box in an envelope isn't the best idea. …",16 out of 16 users found this review helpful
 Bonsai,5,I followed the instructions and now I have to wait 15-45 days for it sprout. …,1 out of 18 users found this review helpful
 Black rice,5,This is a hard to find product. I was quite pleased with cost and shipping from Barry Farms. I have recommended this site to many friends. …,23 out of 23 users found this review helpful
 Disgusting!,1,This tea tastes nasty. Maybe I just dont like sage but it made me gag! …,1 out of 13 users found this review helpful
 AWESOME product!,5,"No need to look. This is the best deal on Agave. Agave is the answer to the sugar issue. Its better tasting than Honey and can replace sugar in any situation. Is said to be very low on the glycemic index and a good choice for Diabetics. Is delicious on pancakes or sundays. Is made from the nectar of the cactus plant. Can be used by Vegans. Try it and you will be convinced. My family loves it. Desolves quickly, unlike sugar or Honey. Great in coffee or tea. Keep a squeeze bottle at the coffee pot at home or in the office! …",15 out of 17 users found this review helpful
 hibiscus flowers plus,1,"In addition to the labelled content, the following items were found: cockleburs, peanut shells, pieces of yarn, twigs...and many of the flowers showed evidence of mold. …",16 out of 18 users found this review helpful
 ..umm?,1,"Avocado is known to be a poison for dogs..Why in this world would they put it in dog food? DON'T MAKE MISTAKES PEOPLE. things like garlic, yeast-wheats, and avocado are NOT good for your pets! Keep with meat, certain fruits(never dried), and grains that aren't processed. You can't feed your dog what people think is trendy. …",0 out of 12 users found this review helpful
 I am so disappointed with this company - buyer BEWARE indeed,1,"After reading the reviews here stating that the Iron content of Ella's Kitchen Spinach packs was incorrect, I checked out their website to see for myself. Hmm.. no announcement there stating that an error had been made. So, I contacted the company wondering if it was a misunderstanding. No, it's true. The Spinach flavor only has 4-6% DV of Iron... NOT 120% as has been clearly indicated on the pouches I have been buying for my son for OVER A YEAR! I have been purchasing these packs by the case thinking that if my son did not eat enough other Fe-rich foods on a particular day, at least he would eat this. I mean you know how difficult it can be to get little ones to take in enough iron, so I thought this was a great option. IF I HAD KNOWN that it only contained 4 or 6%, then I would have given my son other additional Fe-rich foods or continued making my own purees. I guess I should have known it was too good to be true when I noticed that the first ingredient is in fact APPLES not Spinach as the front of the pouches would have you believe. What upsets me the most is that there is not even a warning or announcement on Superstore or at Target stores stating that there has been a mistake?!! If the company knows, why isn't this info passed on to the consumer?!!? Here I thought I was purchasing (a more expensive) but also more nutritionally complete product for my baby and to find out it's just as void of nutrients as all of the other brands on the shelves. I really thought this company was exciting and different and focused on kids' nutrition and health. I guess not. I am asking for a refund at the very least. Honestly, the company is lucky if parents don't decide to take up a lawsuit for their negligence in getting the word out. The incorrectly labeled packs should be recalled like anything else- not left on the shelves to trick parents! Normally, I am not one to overact and am certainly not litigious in the least. Humans (and companies run by humans) make mistakes. It's natural. But as a physcian and a mother, I am really annoyed by the lack of respect shown to consumers in failing to notify the community of this error. …",13 out of 13 users found this review helpful
 magician approved,5,"PROS: Doesn't eat much. Unlike living rabbits, it doesn't poop in your magician's hat. CONS: NOT an appropriate prop when performing a show for a germophobe support group. I don't think I'm welcome at that Y anymore. It's been a big hit at children's parties too. Y'know how when kids get really excited they jump around and start screaming? By that logic, this little rabbit is the Justin Beiber of the mail-order-flesh world. Parents reading this- you can save a ton of money buying a FreshWholeRabbit instead of concert tickets: ""MERRY CHRISTMAS, Timmy! What did Santa leave you under the tree?"" …",17 out of 20 users found this review helpful
 THE BEST SARDINES AROUND!  BUT CHEAPER AT WALMART,5,THESE ARE THE BEST AS OTHER REVIEWS INDICATE. BUT YOU CAN BUY THESE AT WALMART FOR $1.63 EACH! …,19 out of 22 users found this review helpful
 Awesome Product,5,"If your trying to do a low carb product. This works out great. There are receipies on tova's website on how to make poundcake, pancakes, and a variety of other items. They turn out pretty great. Try it. It's a great product. ~Donna …",12 out of 12 users found this review helpful
 Oodles of Fun!,5,"These things are a giggle! I won't bore you with too much detail because the other reviewer has done a great job covering all the details. I will say my husband and I are not particularly into Japanese cuisine or anything exotic yet we find these kelp noodles delightful in every way. Your imagination will run riot with them! There is nothing NOT to like because they have no flavor but will absorb any flavor you put them with. When kept cold they are crunchy, when cooked with liquid they soften. Delightful to look at and fun to eat. Best of all they are full of minerals - including iodine - which are good for you. Don't be a chicken - buy these. If you don't want the whole case offered here you can order just one package directly from Gold Mine. …",24 out of 24 users found this review helpful
 Unpleasant Chemical Taste and Sensation,1,"In reading the other reviews for Red Vines, it seems to be a product one either loves passionately or hates passionately, with very little middle ground. My order from Superstore is my first time trying Red Vines, and I'm not particularly loyal to any other brand, so here's my honest opinion on them. I'll typically have Strawberry, 16-Ounce Bags (Pack of 6) because that's what's readily available in the supermarkets around here, or occasionally I'll have Country Licorice, Strawberry, 16-Ounce Tubs (Pack of 4) when it's available at the local Costco. I'll basically eat the Twizzlers because they're convenient, and the Lucky Country stuff because it's really good. I was looking for a good deal on licorice to have some on hand, and the Red Vines brand was recommended to me by a friend, so I decided to give them a try after reading the reviews on Superstore. So, with an open mind and hoping for the best, I placed my order with Superstore. The consistency of Red Vines is completely different than what I'm used to. They come out of the package with a grainy, dry finish, which is a contrast to the smooth, glossy finish of most other licorice I've had. Also, while Twizzlers and Lucky Country are somewhat thick and chewy, Red Vines are relatively thin, almost hollow. They have a lightness to them that the licorice I'm used to doesn't. They stay chewy in your mouth, but the grainy finish gives a somewhat different texture in your mouth. It's neither good nor bad... just different than what I'm accustomed to. In terms of taste, this is where I was most sorely disappointed. I don't know if it's the packaging or some other issue, but they have a chemical, almost menthol-like taste that isn't at all pleasant. The immediate aftertaste is brutal because it feels like you're breathing chemical fumes (almost like the air inside the individual vines is infused with this chemical taste/odor) but when this wears off (after about 3-5 minutes), there is a somewhat pleasing fruity licorice aftertaste that lingers. I don't know if it's a positive that there's still an aftertaste more than 5 minutes later, but it's certainly not enough to rescue them from the chemical taste. I'm now left with a 4lbs. tub of licorice, minus 4 vines, that I will likely throw out because I cannot return a food product to Superstore, and I honestly don't feel safe ingesting them. I wasn't expecting a health food or a natural or organic food product when ordering licorice, but I certainly wasn't expecting the sensation of breathing and eating something not only artificial, but chemical in nature. UPDATE - My parents came by for a visit, and they've previously had Red Vines, so I had them taste it to judge if there was something wrong with the batch I received. They found that it tasted like what they'd had previously, and did not have an issue with it. So their input confirms that there was nothing wrong with my package of Red Vines, and it seems my problem with them is purely that I find them offensive to my palate, and not any fault in the product. So I didn't have to throw them away, and my parents are enjoying them thoroughly, but I wouldn't buy them again, and I wouldn't recommend them to anyone without having tried them first. Like I said initially, it seems to be a product you either love or hate, with no middle ground. …",6 out of 15 users found this review helpful
" Warning, non-diet syrup contains Sucralose (Splenda)",3,"This stuff would be pretty good if it wasn't for the artificial sweetener. I'm not sure why they insist on putting sucralose into a product labeled as non-diet, especially after touting that it contains real cane sugar. It does, in fact, contain real sugar. But the advantage is negated by the unmistakable aftertaste caused by the sucralose. I think they're trying to keep the calorie count down by creating a ""half diet"" drink. But I don't like diet drinks. I've never had one that didn't have some sort of weird taste or aftertaste. I don't drink a lot of colas either, but I like to treat myself to one every now and then. So, when I do drink one, I want one with real sugar, no HFCS, and no artificial sweeteners. I used to seek out Mexican Coke for this, and I was hoping to get a similar product with the Sodastream. I think a lot of people are attracted to the Sodastream by the prospect of getting a purer product. They're going to be disappointed by the presence of artificial sweeteners in these syrups. It's not a big deal to me because I mostly use the Sodastream to make plain seltzer, but I'm sure their syrups would sell better if they would get rid of the sucralose. …",30 out of 38 users found this review helpful
 Walden Farms product line is great,5,"All of Walden Farms products are literally life savers. Not only are they fat free, sugar free, calorie free, carb free, etc. but they are absolutely deliciouse and at a reasonable price. I am on Nutrisystem now but am using Walden Farms products along with it and will continue with Walden Farms product line from now on. They offer healthy, tasty alternatives to everything you can imagine. …",6 out of 13 users found this review helpful
" Great Product, Poor Customer Service",3,"Terrific all-in-one aeroponic grow unit. Seed kits are pricey, but the company has done the hard work of figuring out which varieties of plants grow well in water and which nutrients each plant type needs. Well designed, easy to maintain, fun to watch and quiet - it deserves 5 stars. Customer service, though, earns 1 star at best. Emails we sent to support went unanswered; detailed voicemails were unreturned. The only way we (sometimes) received help was to wait on their toll-free line for a CSR. The agents were courteous and tried to do whatever was necessary to remedy the problem. Unfortunately, follow through was quite discouraging. For example, (1) our address was incorrectly entered for an accessory order. We were not able to get anyone at the company to correct it in time which caused a delivery delay. (2) We were charged twice for the order. It took over 4 weeks and many phone calls to customer service before a credit was issued. Finally, (3) the shipping confirmation email was sent two weeks AFTER the order had arrived late. When we told an agent of our frustrations, they remarked about the overwhelming response they've received through Superstore. Well, with a product receiving such positive reviews, how did they not expect this sort of response? Their own literature describes the multiple years of product development. They should've spent some of that time on decent customer support. …",19 out of 20 users found this review helpful
 Cook over night in a crockpot,4,"We love this product and make it often. An efficient alternative to the 30 minute cooking time is to place the oat, stick cinnamon, and liquid in a crockpot before bed. It's there hot and ready to eat in the morning. …",17 out of 18 users found this review helpful
 threw it away,1,"This was a bomb. It was guilt inducing because I had to throw it away. I got two of them,like an idiot. …",1 out of 21 users found this review helpful
