Title,Star Rating,Review,Helpfulness
 Dogs love it,5,"My Boxers had HORRIBLE gas while on Science Diet & Royal Canin Boxer Formula. I switched to Wellness CORE & now there is no more gas. Their coats are nice & soft, they have lots of energy, they enjoy eating it, and I can breathe freely. :o) I highly recommend this dog food. …",16 out of 16 users found this review helpful
" excellent for coating cookies, pretzels, etc.",5,This coating melts wonderfully in the microwave and forms a perfectly smooth coating over whatever you choose to dip in it. I have lost our local Merckens supplier and was uncertain about ordering online (would it be fresh?) - it was great. Our traditional holiday treats got rave reviews. …,15 out of 15 users found this review helpful
 Good Tasting and Organic,5,"<span class=""tiny""> Length:: 1:17 Mins </span>Finding healthy foods that actually taste good is a quest of mine. I love the taste of Kashi's Autumn Wheat cereal. Knowing that it is a natural product and is healthy is fine but he added benefit of tasting good is even better. I highly recommend this for anyone, especially those who are health conscious ! …",7 out of 12 users found this review helpful
 This is a wonderful herb...,5,"While studying herbs I ran across an eyewash recipe that required red raspberry leaf as one of the ingredients. I ended up buying the one pound bag because the pricing was so much better than the smaller quantities. One pound of red raspberry leaf is a lot of herb--at the time, I never thought I'd be able to use it all. I did some research and found that this herb, when drunk as a tea, is good for a plethora uses. Nausea, diarrhea, fevers, flu, hemorrhoids (yes, drinking tea helps hemorrhoids!) diabetes, and virtually any problems involving a woman's reproductive system just to name a few. I serve this tea to all of my guests and recommend it to virtually everyone. The cut and sifted is kind of fuzzy looking, but it works very nicely when brewed. It has a very light and mild flavor that requires little or no sweetener added. I just ordered my second one pound bag. Try it--it's wonderful! …",14 out of 14 users found this review helpful
 Decent taste - 5 servings per box,4,"I get tired of labels selectively enhancing numbers to mislead, so these get a star off for that. Big bolded letters it says: ""10 bars"" below, in smaller letters you'll see a small pack has 2 bars. At least they have the decency to call a serving (at the back on small letters: 2 bars). The bars are very small, so it's no surprise that this is the case. On a positive note, the oats are organic, as are a lot of the ingredients. The bars crumble a bit much, so you might lose a piece or two to the floor. Overall, given the quality of the ingredients, and the decent taste, these are a good choice. However, a lot of the time the cost per bar* (10 bars in a box, 2 per pack) is close to a dollar, an honestly, anything over 50 cents is way too much for the size of these, and you would be better off with any of the other products out there that fill you up even more (1 dollar protein bars come to mind - they weigh a lot more than 2 of these). …",35 out of 37 users found this review helpful
 Particular Puss Loves this Food!,5,"So, I have a HUGE cat (not fat, just laaarge) who has never had issues with being choosy about cat food until this past year. She'd kind of pick at a food for a week or so, then just completely stop. Getting her to eat consistantly has been a huge battle, and I've been worried because she's been losing weight which is not good on her gigantic Maine **** self. I don't have much money, but finally did the math and figured out that buying cheaper food and then throwing half of it away wasn't saving me anything...invested in the Weruva Paw Lickin' Chicken cat food. It came a few days ago, and I think the year of struggling to find something Beatrix will eat is finally over. She LOVES this food. She's taken to lounging by the bowl and casting pitiful looks of longing at me whenever its not on hand! lol She's happy, so I'm happy. And its no lie that this is human quality food. I haven't actually eaten any of it, cause...well...yuck, but it looks like better quality than the chicken you get at KFC! lol Plus, and this is big because I live in a small apartment...there is almost NO odor to it like most wet cat foods...just smells slightly chickeny. I've also noticed that her tummy seems to be bothering her less if the litter and furball issues are a good indicator. Good food = happy cat. Give it a whirl. …",13 out of 13 users found this review helpful
 Great treat for a great toy,5,"This flavor and the Barbecue seem to be my dog's favorite, although he does love the liver flavored one as well. Of all the flavored cookie inserts I have tried, there has never been one that he doesn't like. I usually put one flavor in one side of the Everlasting Treat Ball and another flavor in the opposite end. These treats are hard and durable, allowing the dog to scrape off small portions of the cookie at a time. It usually takes my dog a week of constant, daily chewing just to get through one cookie insert. These cookies are the BEST! …",21 out of 21 users found this review helpful
 BEWARE - Superstore LIMITS THE TOTAL AMOUNT YOU CAN BUY,1,"The food is GREAT. The cats have gotten completely addicted to it. BUT....what Superstore doesn't bother to mention is that ""quantities are limited"". I have been buying this food for my 3 cats for about 6 months. It comprises roughly half their diet (or 3 cats/day). I just went to re-order and was repeatedly told ""there's a problem"". Long story, and 2 phone calls plus 2 emails later, I was told I have bought the LIFETIME MAXIMUM of this product. I ordered it for almost twice the price via the marketplace, but I am furious with Superstore. NOWHERE on this page do they tell you there's a limit. So I'm here to tell you there is. The food is great, but don't get used to buying it here. …",16 out of 26 users found this review helpful
 A must have!,5,"These are easy to use, they do not make a mess, and offer vibrant colors. They do not taint what you are decorting as some colors can. I would highly recommend these to anyone to likes to decorate. …",26 out of 28 users found this review helpful
 Take a walk on the dark side!!,5,"I was surprised to see the ""review"" written by whoever thought this was like swallowing dirt. Don't listen to the haters. I don't think they could ever have even tasted this. This is the real deal and it's actually good. First of all, it doesn't have any kind of grittiness to it. If you closed your eyes and drank it, it would just be water to you. All I can say is that drinking this has given me more energy than I've had in a long time, and it's hard to describe, but I just feel better. Try it, you'll see what I mean. Again, just remember there are plenty of haters out there. I'm a lover NOT a hater!! …",6 out of 21 users found this review helpful
 Great Toy for a dog that's tough on toys,5,"Our dog loves her Bad CUZ, but this toy she loves more than any other. She's a VERY tough chewer, and it's survived for quite some time with no damage. One thing - protect your toes with this toy - it's pretty heavy and does get swung around a bit. I wouldn't recommend this toy if you have low tables with knick-knacks, sensitive shins or teeny kids that may get bonked with it. Ours has gotten thrown (by the dog) repeatedly down the stairs onto a hard floor and hasn't broken yet. As far as treats to go into it - remember that the rope is knotted inside the jug, so don't put anything into the jug that's soft or the rope will end up smelling REALLY nasty... …",19 out of 19 users found this review helpful
 You should buy the regular.,2,"This brand does make a superior coconut milk, but Superstore buyers are always on the lookout for a good deal. The only difference between this Lite Coconut Milk and Kitchen Pure Coconut Milk, 13.66-Ounce Cans (Pack of 12) is water! That being said, stretch your dollar and buy the regular version. To cut calories and fat, add the water yourself. …",11 out of 13 users found this review helpful
 BRING THEM BACK!!!,5,"First time i tried an un-salted pretzel! In one day I was hooked on them! I've ordered and eat all 12 bags a week myself!!If you dont bring them back REAL SOON I won't ORDER ANOTHER SNYDER'S OR OTHER PRETZEL BRAND. I TRIED SEVERAL OTHERS AND THEY ARE TOO SALTY! NO OTHER BRAND EVEN HAS AN UN-SALTED MINI PRETZEL.. THEY ARE ALL TOO HARD OR TOO SALTY!,,, I SAY: BRING 'EM BACK NOW!!!! …",12 out of 13 users found this review helpful
