Title,Star Rating,Review,Helpfulness
" Nice mix, but..",3,"I was looking for a mix like McCormicks Medley blend which has the 4 types of peppercorns, coriander and allspice. This was the closest I could find, minus the allspice. This blend has great flavor. The only problem is the coriander is so large that it's hard to get into the grinder and the grinder gets plugged up, having to reverse grind. I do have a very nice William Bounds grinder, so it's not the grinders fault. …",15 out of 16 users found this review helpful
 Just like remember !,5,Being French I grew up knowing how important it was to use a good unrefined salt. The one from Brittany being the very best. No! It's not foolish to spent money on a basic spice. It has a very delicate flavor (almost floral) and you don't need a lot. Will taste great on salads. A clear healthy winner. …,12 out of 12 users found this review helpful
 CELIACS BEWARE !  CONTAINS GLUTEN !,1,"Despite the fact that the ""nutritional information"" on Superstore states that this product is only herring, water, and salt, the cans state that GLUTEN is part of the deal. I am feeding my cans to my dogs, who incidentally love the flavor. BTW, what the hell is gluten doing in a can of fish? …",5 out of 22 users found this review helpful
 they're right... best hot chocolate,5,The other reviewers were right. This is the best hot chocolate flavor in k-kup size out there. It was worth searching out and purchasing. …,18 out of 19 users found this review helpful
 FINALLY!!  I'm so glad to finally see this on Superstore!!,5,"I'm so glad to finally see that Superstore is selling and fulfilling this product themselves. I've been buying this at Albertsons lately and getting it 2 for $3.00 which is roughly about the same price on Superstore but of course now I won't have to pay the sales tax and I get it shipped to me via UPS 2nd Day Air for FREE since I'm an Superstore Prime member. I just hope Superstore lowers the price as well as making this one of their Subscribe & Save products. I just ordered 4 of the 12 packs - (1) Lemon, (1) Chocolate, and (2) Spearmint. I'll be so happy if they lower this to around $1.00 or less per bottle. I would then order this stuff like crazy as I hate drinking regular water and am seriously trying to get off diet sodas. P.S. - If you're wondering about the Chocolate flavor - it's awesome. It sounds nasty but is actually good. It taste a bit like your drinking water with one of those green Andes candies in your mouth. If you're trying to cut down or even get off of sweets - this is a good water to drink as it actually satisfies your sweet cravings!! …",12 out of 13 users found this review helpful
 An Excellent Food,5,"Pet guardians, please take the time to educate yourselves on what goes into your pet's food. That initiative will give them the gift of a longer, healthier life, eliminate many chronic health issues that pets face, save you money in vet bills in the long run... the list of benefits goes on and on. I have done extensive research on canine and feline nutrition and I highly recommend, if you are going to feed commercial food, Welless, California Naturals or Innova. For a great complete meal, I give my dogs all one of those dry foods mixed with a little bit of canned from the same brands, water for hydration, a touch of a good quality essential oil (such as olive, flax, etc.), a touch of powdered kelp and alfalfa, a splash of organic apple cider vinegar, Prozyme digestive enzymes to unlock the nutrients in all that good food and top with a dollop of plain yogurt. It sounds like a lot, but it takes me less than 5 minutes to assemble the meals for 6 dogs - and they are ridiculously healthy an full of energy, even our 3 seniors who are 11, 12 and 13. I have two seniors with heart murmurs and at our most recent vet check, my dog with the worst heart murmur, a 12 year old beagle that I love desperately, had a 2-grade improvement in condition severity - that is HUGE. Good nutrition makes all the difference! …",21 out of 21 users found this review helpful
 don't be fooled -- this is NOT white tea!,1,"Maybe I should have said ""this is not 100% white tea."" But then, so should Lipton have said just that. Even though it does not say so in the tea name, the sub-title name, or any of the information anywhere on the box EXCEPT the ingredients list in very very small type (had to get my reading glasses!) -- the second ingredient in this ""white"" tea is green tea. Why? Because white tea is very expensive. It is costly because it is hard, labor intensive work to harvest white tea. If they sold this product made completely out of white tea -- they would not make as much money. But then, they also would not be deceiving their customers. I drink white tea and rooibos red teas because they are naturally either caffeine free, or so low in caffeine that it doesn't give me the migraines which caffeine cause for me. Lipton's deception did cause a migraine. And they have permanently lost a customer because of their intentional deceit. All of the other major tea companies make sure their products are clearly labeled as ""caffeine free,"" ""contains caffeine,"" ""naturally low in caffeine,"" ""those sensitive to caffeine please read ingredients...."" But not Lipton. They made these pretty little pyramid tea bags, but put the same old sad corporate ethics inside. …",9 out of 14 users found this review helpful
 Great Concept... Weak Processor,2,"I typically am not a big proponent of single-purpose specialty gadgets, but the Babycook was appealing to me for convenience. The product does deliver in that it significantly reduces dishes/clean up - however the processing function is surprisingly weak. To puree steamed chunks of carrots takes far longer to pulse than what the manual implies. I have to pulse & scrape down multiple times before foods are completely pureed - something I would definitely not have to do with a food processor or even a blender. I was very surprised not to have seen this shortcoming mentioned in reviews as of yet, but perhaps my expectations are a bit higher because I do cook on a very frequent basis. Although I love the idea of having an easy machine to whip up fresh baby food, I'll likely return it and use a steamer + food processor for better results. …",17 out of 18 users found this review helpful
 great!,5,I purchased this for the first time and am very satisfied with the product and taste. It is a wonderful substitute for sugar in my coffee and cereal. I have gotten used to using no sugar so this is a treat. One tablespoon is 30 calories but I don't use more than a teaspoon. If it is really low glycemic that is a huge advantage for all those who suffer with diabetes. I highly recommend trying this. …,12 out of 12 users found this review helpful
 Excellent Source of Magnesium,5,"If you're taking a lot of calcium, you'll need additional magnesium. This Natural Calm powder is a very good source of that magnesium. My wife is taking calcium and was suffering from severe feet and leg cramps (especially at night). A little research pointed to magnesium to help with this. As with calcium, the citrate form is best for absorption and that's what this Natural Calm provides (magnesium citrate). After just a couple of days of use, the cramping seems to have disappeared. One additional benefit is that certain digestive end processes seem to have smoothed out, too. I've also tried a flavored version of this product (Natural Vitality - Natural Calm Rasp-Lemon, oz powder, 16 powder). Unlike that version, this stuff is entirely odorless, and the only taste is a sense of tartness. I much prefer this non-flavored version over the flavored version. The only problem I have with this product is that it would have been very nice if the bottle had included a little plastic teaspoon scoop for measuring the dosage. That's pretty insignificant. So, I still rate it at an Excellent five stars out of five. Highly recommended. Especially if you're taking calcium. …",18 out of 22 users found this review helpful
