Title,Star Rating,Review,Helpfulness
 Great for a Bread Machine,5,I made a loaf last night in my bread machine. I put the setting on light crust and the bread came out perfect! Couldn't ask for anything more. …,21 out of 21 users found this review helpful
 Very good but not earthshattering,5,"I think a few reviewers have gotten carried away (or maybe they just never had anything but canned before). These beans are a good value and definitely taste better than canned, but they're not going to change your life. The light packaging, long shelf life, and simple preparation make this a good product for camping or emergency supplies. It's not easy to tell from the picture, but the bags are zip-lock type so you can make a portion of the package and reseal the rest. However, the instructions only cover the amount of water appropriate for the whole bag, so you're on your own to measure for a portion. Hint: start conservatively because it's easy enough to add more water later. Overall nutrional values are better than average. I like to mix both cheese and salsa into my beans, but the result is fairly high in total sodium. Sodium level of the bean mix itself isn't too bad, but I wish they added less salt because anybody can easily add salt if desired, but you can't take out what they've already added. Since many people like to add things to their beans anyway, it would be ideal for the beans to start out with as little sodium as possible. …",13 out of 14 users found this review helpful
 CONTAINS FLAX!,1,"I never expected granola to contain flax seed -- something I'm allergic to. I sat down to a nice bowl of granola, and it sure tasted good! Then my throat started to itch. Then my stomach started to cramp. I stopped eating and checked the label -- sure enough, near the bottom, 'ground flax seed'. My husband, who is not much of a granola eater, tried some a few days later, and although he isn't allergic to flax, he found it still made his mouth and throat itch. If you're not allergic to flax, by all means enjoy it, but if you are -- DON'T TOUCH IT! …",2 out of 25 users found this review helpful
" Flavorful, Creamy & Smooth Split Pea Soup",5,"If you struggled for years using store bought green split peas and have never been satisfied with your soup, struggle no more. For years I tried different recipes and was never satisfied with the end result because of the inferior product I was using. My green split pea soup has never been better now that I started using this company's product. Palouse Brand's product is hardy, tender, flavorful, creamy and smooth when cooked. There is no dissapointment here. This farming family knows how to delivery fresh! …",13 out of 13 users found this review helpful
 People consider this refreshing?,1,I'm sure the flaw with this product is with coconut water in general and not with Zico. I gasped when I first sipped this drink. There is a strange saltiness in the taste and the passion fruit and orange peel are barely perceivable. Superstore was kind enough to refund me the cost of this order. Lesson to be learned: try to find a sample of a product before you buy a case of it. …,11 out of 21 users found this review helpful
 Vegan Natural Kosher Choice,5,"Vegan. Natural. Kosher. I love Indian spinach (palak.) Alu palak (or aloo palak, meaning potato with spinach) is a very traditional Indian dish, also very often served with thali meals. Thalis meals are served on separate dinner plates to each guest with small bowls on each plate holding the various tasty choices. This Tasty Bite Aloo Palak is wonderful for adding another easy serve choice to your own 'thali' creation or as an additional item for an Indian or Asian-themed meal. Alu palak is great spooned over basmati rice or with Indian breads [or vegan whole wheat tortillas.] Can also be used as a base for a more elaborate mix of your favorite vegetables and/or beans. Tofu cubes are another delightful addition. I have also used it to make a delicious(!) spinach soup by adding Asian buckwheat noodles. Nicely spiced and not spicy by Indian standards. The spinach is a puree, partly a wonderful spinach gravy, accompanied by small diced potato cubes. A great choice for those who like or enjoy creating with spinach dishes. Made with spinach [palak], potatoes [aloo or alu], tomatoes, onions, water, sunflower oil, salt, cornstarch, ginger, garlic, sugar, chilies, turmeric, and spices. 200 calories and 6g protein per pouch. This review is out there for those for whom this makes a difference. See all of my reviews and the vegancompassion Profile for more great choices. Check out ""Vegan Grocery Favorites"" and ""Vegan Grocery Top Ten"" & all the other helpful ""Vegan Grocery"" Listmania. Your input counts and will be greatly appreciated to benefit the search of others. Thank you. …",17 out of 17 users found this review helpful
 Not good like they say it is!,1,"I'm a regular daily pepsi drinker, as are a few of my friends. Some of us has tried the new pepsi throwback and NONE of us like it! It tastes totally different and almost reminds me of ""coke"" and it is not refreshing. If you drink it regularly (instead of coffee/tea for your caffeine fix) then you will definitely notice the taste difference. Sorry, but I don't like it! …",0 out of 14 users found this review helpful
 Best deal on AMZ for bottle pumps,5,"These pumps are very durable. I've been using the same pump for over a year for my Torani coffee syrups and have no problem with them whatsoever. The fit is perfect and I never have syrup running down the side of the bottle. The only thing I make sure I do when changing the bottles is rinsing out the pump as sugar crystals can dry around the pump mechanism and cause the pump to get stuck. Cleaning is easy: just let the pump soak in clean, warm water (no soap necessary) and then pump water through it a few times to blast away the remaining sugar residue. Maintaining these pumps this way prolongs the life of the pump. This five-pack is the best deal on Superstore. Others sold separately cost more by other shippers because of the added shipping costs. A five-pack now allows me to keep several bottles of different syrup flavors available to chose from while making my morning cappuccino. …",18 out of 18 users found this review helpful
 Full of chemicals,3,"Full of chemicals, zinc oxide, niacinamide,ferrous sulfate, copper gluconate, vitamin A, Palmirate, calcium pantothenate, and 3 other synthetic vitamins. Are these all Fortified nutrition? if not what the reason for them. Label DOESN'T say non GMO. Superstore web page says its non GMO. Have to go with label. Soy based, Superstore didn't say it was Soy. Soy has been knocked down lately as having too much estrogen. Use small amounts and infrequently. If U don't mind soy, and don't care about GMO, It still would loose 2 stars for the chemical crud. Too bad could have been 4 stars. This company has problems with labeling, out of 6 Items I bought 3 had labeling issues. …",10 out of 20 users found this review helpful
 TERRIBLE:,1,"I HATE THIS TEA, I LOVE LICORICE, BUT I HATE THIS TEA, IT IS TERRIBLE, THE SMELL AND THE TASTE. I HATE IT, I RATE THIS TEA A ZERO! YUCK!!! …",1 out of 21 users found this review helpful
