Title,Star Rating,Review,Helpfulness
 Don't waste your money!,1,I bought this with such high hopes of having fresh herbs all winter (we successfully grow all kinds during the summer) and I was SO disappointed! I followed the directions to the letter and did everything exactly as I was supposed to ... to no avail. Only 3 of the 8 plants even grew and were available to eat and after 3 months they ALL died. Don't waste your money ... I wish I hadn't! …,30 out of 34 users found this review helpful
 STAY AWAY,1,This is total marketing gimmick. This stuff tastes like dirty coins and is ridiculously priced. The only explanation for the 5 star reviews is people who have a financial interest in this drink. Don't buy it. …,22 out of 25 users found this review helpful
 Celtic Sea Salt,2,"I very much like Celtic salt, but I did not want the coarse grained. I ordered the fine grained salt and received coarse grained salt. I contacted the seller to no avail. I gave it a 2 star, because celtic salt is great, but I wouldn't buy from this seller again. …",3 out of 19 users found this review helpful
 Good Product,5,"It came in a good quality, resealable bag which was heat sealed at the top to prevent tampering. Shipping is reasonable if you are purchasing other items from Barry Farms. I've purchased many items from Barry Farms, and this is as good of a quality as anything else I've tried. …",9 out of 13 users found this review helpful
 Greenies,3,I do not recommend these for people. My dog seemed to enjoy them. They were too big for my cat. …,1 out of 15 users found this review helpful
 GoPicnic tuna,3,I have only tried the GoPicnic tuna meal and I did not not like it. The concept is good and I hope the other choices are better but for me the product is not worth the price …,0 out of 20 users found this review helpful
" These are awesome, fatty, and flavorful.",4,"These little pretzel pieces are totally addictive, which is probably not a good thing because they're a lot worse for you than you'd think pretzels should be. They have around 60 fat calories and 3 grams of saturated fat in ONE ounce, which equals out to be 15% of your daily sat fat intake per serving (one ounce). The reason they're so good AND so fatty is that the mustard/onion seasoning is in an oil that permeates through the shell of the pretzel, making them extra flavorful and not dry at all. They're a little sweet, have good mustard flavor, and the onion flavor even comes through a little (they taste like they're supposed to). I try to just grab a handful at snack time and quit while I'm ahead, but I usually end up going back for more later. If you're willing to put up with a little extra fat for a lot of extra flavor, these are a perfect snack. …",16 out of 17 users found this review helpful
 No Longer American Candy,1,This company used to be in Georgia. A few years ago a larger company bought them out- closed the factory and they are now made in Mexico. They are not as good as they used to be and they are no longer even made here. Every Candy Cane I have found so far is made either in Mexico or China. Terrific- we don't even make our own Candy Canes anymore. I am not buying lousy Candy Canes made in Mexico or China. …,8 out of 12 users found this review helpful
" Not a fan of granola bars, but the taste of these wowed me",5,"I don't typically buy or snack on granola bars. They are often more chewy than like a crisp cookie and taste of honey and artificial ingredients. In fact, I would never have tried these were there not a sample bowl of them at a local grocery store. I was more than shocked...it almost tasted like a homemade oatmeal cookie. In fact it was so good I returned for seconds and bought 2 boxes of these and 3 other flavors as well. Although the chocolate chip is a close second, these are hands down the best in my opinion. Surprisingly the calorie count on the box is for TWO bars. While many manufacturers try to sneak in calories by doing things like saying there are 2 servings in soda can or 2 servings in a single frozen dinner so the calorie count looks smaller, they were more than generous. TWO bars of most of their flavors have only 160 calories and for a mega sweet fix that satisfies me plenty with just one bar, that wowed me. This is an organic bar and they are actually vegan. Not that they advertise this anywhere, I just read labels and was surprised to see no dairy or eggs listed. One servings gives you 40% of your daily recommended serving of whole grains yet it tastes like a cookie or dessert...and that also means a nice doce of fiber. While I wouldn't fool myself into thinking that I'm eating HEALTHY just because of the whole grains and organic ingredients...it is, afterall, sweet and has 11g of sugar (but that's for two bars, remember, and one is plenty filling for me so that's not so bad for a sweet snack.) I do feel I am eating healthier than most alternatives when I'm craving a sweet snack that I can tote in a purse or keep in my desk drawer. Most bow far deeper into the less healthy alternatives of preservatives to keep them shelf-stable, or far more sugar. Not to be confused with a protein bar or one packed with vitamins, of which it's not, it's still a healthy alternative to the afternoon candy bar or morning donut in the break room and in my opinion it tastes way better than either. …",16 out of 17 users found this review helpful
 Top quality.,5,"Kadoya Sesame Oil is delicious, with a deep, dark, full sesame taste. Unlike many sesame oils which are watered down, this one is the real thing. Great for all Asian-style cooking. …",13 out of 13 users found this review helpful
 Manufactured coconut water,1,"Just bought and tried COCO LIBRE coconut water. After reading the label, I see that it is from a concentrate and uses unknown ""natural"" flavors. So, we would want to know the process for concentration, in what kind of storage container is was shipped in, at what tempurature, for how many days and what kind of water was used to reconstitute it. I don't think the advertising makes any of this clear. …",14 out of 14 users found this review helpful
 Short Slim Jims,5,I've noticed that the shorter Slim Jims taste different and better than the longer Slim Jims. I prefer these. …,49 out of 56 users found this review helpful
 Fantastic nutritional gift from the sea!,5,"I can't say enough good about Eden's Wakame. I absolutely love it and prepare a simple raw wakame salad from one 2.1 ounce package at least once a week. Furthermore and most importantly to me as a raw vegan resident of Florida, it is a must have in my hurricane pantry for it soaks quickly providing a highly nutritious fresh green vegetable. This product is truly a delicious and nutritious gift from the sea. I should also add that it is a good buy here at Superstore. …",16 out of 16 users found this review helpful
 ingredients,3,"sugar, coffee creamer (tapioca syrup, hydrogenated palm kernel oil, sodium caseinate, dipotassium phosphate, mono and di glyceride, sodium aluminum silicate), glucose, plain almond powder, almond extract, modified starch. total fat 4.5g, sodium 15mg. sugars 13g, for serving size 30g. …",22 out of 24 users found this review helpful
 wonderful!,5,"This is a wonderful product. We have tried several other brands. The health benefits are amazing. We use it for a substitute for shortening in baked goods(pie crust, cookies, etc.) We also prefer it now for frying eggs, potatoes, pancakes, everything, as it is much more stable at higher temps. --A word of caution, if you don't like coconut taste, it will take some getting used to. My oldest daughter(17) falls into this catagory. She is now accepting it more and more. The other 4 kids have had no trouble making the switch. It is interesting that we now eat more healthier fats and fats in total, yet have lost weight. My husband and I have each lost between 10 and 15 lbs. using this product, along with making other healthy changes in our diet. Enjoy! …",13 out of 14 users found this review helpful
 No Deal!,1,"This is not a good deal in any way, shape or form. You can purchase the pods directly from Nespresso for 1/2 of the price and you will receive them within 2 days of your order. If you buy these, you'll be paying way too much! …",70 out of 70 users found this review helpful
 Light Chocolate,2,"If you like really sweet chocolate bars, this might be for you. However, it's advertised as special dark, which is false advertising. It's only 45% cocoa; real dark chocolate is 70% or more. This is a scam. …",7 out of 12 users found this review helpful
" A Product I Had Been Waiting For, Lived Up To the Hype",5,"The regular kind of ideal was already my favorite sugar substitute. I've been doing a lot of diet baking lately, and knew as soon as I saw this product existed that it was going to be cutting a few calories and a few carbs out of my recipes. In addition to baking, I have used this product as a mix-in to oatmeal (blended with some cinnamon and a drop of vanilla makes a healthy breakfast taste like candy. I think my favorite use so far was broiling some sliced plantains dipped in this product. It caramelized perfectly. …",27 out of 27 users found this review helpful
" Really energizes, tastes great",5,"I'm a green tea fanatic, and have tried over 150 bagged/loose leaf varieties. I have a crazy job, and used to rely on coffee for the energy boost while sleep deprived. Coffee works, but at the cost of digestive issues, acidity and a dehydrated ""run-down"", stressed out feeling. Enter green tea, which energizes and rejuvenates in a completely different way form coffee. Green tea's antioxidants, small amounts of caffeine and theanines promote a feeling of relaxation as well as stamina, and you can drink several cups without feeling stressed out and jittery (ie the over-caffeinated syndrome from coffee). While bagged tea will never equate the taste and freshness standard of looseleaf, if you are looking for a convenient tea offering a true energy boost to take at work, this tea is fantastic. The triphala extract (an Ayurvedic herb blend known for promoting regularity, energy and well-being) really does seem to rev up your metabolism and digestion while sustaining a level of peaceful energy. I was very pleasantly surprised by the taste and quality of this tea - it's got a faint blueberry 'zing' to it and doesn't taste medicinal at all. In fact, I subscribed to have this item delivered to me regularly as I went through so many boxes quickly. It's a great price and the little peaceful sayings on each green tea bag help remind you to stay centered and happy with each sip! …",35 out of 36 users found this review helpful
 ****IT SHOULD BE ILLEGAL****,1,"This is the hottest stuff I have every tried, and I have tried alot. When you first put it in your mouth its not bad but after bout 10-15 seconds you can't do anything but hang on for the ride. Ane believe me the ride is not fun. This stuff shoud be kept way out of reach of any children or people with heart problems. ****IT SHOULD BE ILLEGAL**** …",4 out of 18 users found this review helpful
 This is a Staple in our Home,5,"We've tried many of the brands & flavors out there for the Keurig System K-cups. This is the one that we absolutely MUST keep on hand. It's our favorite coffee to wake up with in the morning. Tastes wonderful, full-bodied and strong enough without being bitter. It does it for us! …",12 out of 12 users found this review helpful
 Great baby food maker!,5,"The Baby Brezza is a super easy to use baby food maker. You can literally throw in the ingredients and within 15-25 minutes, you have homemade baby food. My only complaint is that being a mother of twins, the baby food maker does not have the capacity that I would like since I have two babies who eat a ton. (My workaround is making multiple batches of the same thing and/or similar mixtures which seems to work.) My suggestion for Baby Brezza is to add a ""Blend time"" button. (So I can set to blend for 30 seconds after I have drained excess water or added non-steam ingredients like bananas.) Overall, worth the money. Easy to use, easy to clean! …",27 out of 29 users found this review helpful
" Healthy, and Tasty, but not for everyone",5,"I originally discovered this product at Whole Foods when looking for a healthy fiber-rich carb source to add to my daily breakfast, and think the taste of this is absolutely great. If you are used to a high sugar baked bean product (eg, Heinz Baked Beans), this will surely be less sweet, however. My girlfriend, who also eats healthy, seems to only taste one ingredient in this - the Sorghum, and doesn't like it at all. I'd suggest trying it once (if you can buy it in a local supermarket, buy just one), and if you like it, buy it in bulk from Superstore as the price is much better here. …",10 out of 12 users found this review helpful
 A fine chocolate for mixing coffee beverages,4,"I'm afraid that many of the negative reviews about this product rather miss the point. They even state on the Tassimo website that these discs are best used with the addition of marshmallows or milk, but even without this information, most people would be able to figure it out for themselves. The Suchard disc contains chocolate syrup. It has no milk, no cream, and no non-dairy creamer. When most people think of ""hot chocolate,"" they think of a drink that's made with milk, no? Just like a latte or a cappucino requires the addition of milk. Yet for some reason the same people who think nothing of adding milk to make a cappucino can't figure out that they need to do the same to make hot chocolate. Baffling. Use of the Suchard disc without the addition of milk or cream (either the Tassimo milk discs or regular milk) will have the same result as diluting Hershey's syrup with water. Expecting it to taste anything like Swiss Miss or similar packaged cocoas containing powdered milk is unrealistic and unfair. This product is even better used with powdered milk or non-dairy creamer, as it has a richer flavor due to less dilution that way. …",22 out of 23 users found this review helpful
