Title,Star Rating,Review,Helpfulness
 NOT GLUTEN-FREE,1,"I am gluten sensitive -- I get migraines from wheat. I am able to take some wheat grass products but not others. On the Amazing Grass website, they swear it's gluten-free. Having tried this product today and getting a migraine shortly afterward, I can tell you it's NOT gluten free. …",2 out of 14 users found this review helpful
 Didn't like the taste; High protein/grain free = issues,1,"My family recently adopted a 15 lb. Chihuahua mix who was found abandoned... we didn't know what she had eaten beforehand, but I'm guessing it wasn't anything high-quality due to the condition of her teeth and coat. My goal was to get her on a high-quality diet (a ""6/6"" rating), and researched high protein/grain free diets and the benefits of them. Additionally, I read up on Innova/Evo and understood that their products are extremely high quality, and someone else on a forum recommended we try the Red Meat Small Bite kibble with her. Even at first sniff, my dog indicated she didn't like it. Of course, I figure it would take some time, so I worked on transitioning her off of the other kibble she was on. It basically came down to the fact that she would only eat the Innova Evo when it was mixed in with some wet food, and oftentimes only with a bit of cottage cheese mixed in. Shortly after being on this high-protein diet (we didn't even finish her small bag of food), she began to urinate around the house, which she hasn't done in the 5 months we've had her. It turns out she had urinary crystals, which the vet attributed to the high protein levels of her diet. We had to put her on Flagil, and the vet recommended I put her on Hill's Science Diet c/d (which I know is full of corn and grain fillers). After politely declining, I changed her diet to something more holistic that DOES have grain (a ""4/6"" rating). She's fine now... Innova/Evo is an extremely high quality brand... perhaps it's better for larger and very active dogs. I know not ALL dogs may have this reaction to a high-protein diet, but I really think people need to understand that high-protein/no grain isn't always the smartest choice in terms of your dog's health. In our case, it turned out to be much more costly for us and more stressful for our dog to make this switch. …",15 out of 15 users found this review helpful
 BEWARE:  MADE IN CHINA,1,"I'm disturbed that these treats, as many reviewers state, are so ""addictive."" My dog, too, loves them but has now begun to shun her meals and will only eat these treats. In trying to make sense of her current state of anorexia, I recently became aware of the FDA advisory on Dec. 19, 2008 stating that one of the symptoms to be aware of in dogs eating chicken jerky treats made in China is ""decreased appetite, although some may continue to consume the treats to the exclusion of other foods."" So be very wary of the fact that dogs seem to go crazy over these treats. Although the Dogswell Company states clearly that their product is not contaminated, and that third party testers have confirmed this, do the owners of the company truly know what's happening in China behind the scenes? Or who might get paid off to test certain batches of jerky? I and my vet have been unable to come up with any other explanation for my dog's anorexia, except that it coincides with her increased interest (and now ONLY interest) in Happy Hips since I began treating her with them last spring. Thankfully, her kidney function is still fine, but if you research this on the web, many other dogs were not so lucky and died due to kidney failure. See this link to the FDA website suggesting caution to consumers in using chicken jerky products from China. Be informed! [...] …",80 out of 83 users found this review helpful
 Planned Obsolescence!,1,"Initial set up of the Tuscan Whole Milk, 1 Gallon, 128 fl oz is easy, just unscrew the cap and remove the liner. It has a surprisingly rich set of standalone and integrated food possibilities and the addition of vitamin D was a bonus. However, I find that this product quickly becomes unstable (even without overclocking) to the point that it is no longer usable. At first I tried passive cooling to prevent the degradation, but ultimately had to switch to an active cooling method to prolong the products usefulness. Note that even with this extreme care the Tuscan Whole Milk, 1 Gallon, 128 fl oz will still break down. Even if you never use the product it will still fail! This is the worst kind of planned obsolescence, requiring you to replace this product every two weeks whether you use it or not! Pros: Inexpensive, easy set up. Cons: Short product lifecycle. No instruction manual. No optical/coax sound output. …",346 out of 356 users found this review helpful
 Not as advertised,1,"Let's start this with Superstore took care of the issue with this product promptly and courteously so FIVE STARS for them. Now the abysmal packaging and quantity/quality of this product. Run, stay away, don't think about it, just keep moving along. Not in a holiday box but in a brown box with a 11""x14"" piece of colored paper that can be taped to the front to cover the cellophane. And no little view hole either like the picture. The brown box it comes in is about 5"" deep but the interior brown box of contents is supported by 3"" of cardboard underneath. The 2"" deep contents box has 1"" of scrap paper pressing the contents into the cellophane. So what is in that 1""x11""x14""? Not much! 1 packet of hot chocolate for a 6 oz cup? That's like a shot. The littlest 3-4 packages of other stuff not worth mentioning but think 1/3 the size of a small kids lunch bag of chips. The mustard is in a jar smaller than what the airlines serve jelly in. (1 Oz). The cheese wheel is more cardboard and little cheese. The knife to cut the cheese came out of some playdooh set. Let's just say this isn't worth $5 and due to the packaging, it can't be gifted without shame. …",117 out of 119 users found this review helpful
 Too runny,2,While the texture was fine with the macaroni the consistency was way too runny. The cheese sauce wasn't thick at all which made it messy for the kids to eat. They weren't very fond of the taste of the cheese sauce either. Tasted bland and not cheesy enough. I will not be getting this product again. …,18 out of 22 users found this review helpful
 Fragrant and delicious,5,"As someone who goes through lots of thyme (I use it in everything except cereal), I was pleasantly surprised to see this product on Superstore at a very reasonable price. Looks, smells and tastes just like any other thyme but you can not beat not running to the grocery store and paying about 5-10x more for a tiny bottle which would last maybe 2 weeks in my house :). …",12 out of 12 users found this review helpful
 Fantastic.,5,"Exactly how I always pictured Bertie Bott's beans would be. I have the generation before these and they've been spot on since movie 1 (GOD, the HORSERADISH flavor was AWFUL. UGH.). The generation before these has a single flavor that literally made me retch. The fish flavored jelly beans are SO AWFUL that you will gag. You will. Trust me. These, on the other hand, only have a few really awful ones. Avoid vomit if you can, because that's probably what you'll be doing next. whoever makes these is awesome. …",44 out of 46 users found this review helpful
 Free lunch is over ...,5,"I usually do not write reviews on Superstore (or anywhere else for that matter), but I really have to make an exception in this case because of how well this device works. It is rare for any device to work exactly as expected, but the Victor Blackbox Gopher Trap works above and beyond any expectations that I had for it. I do not work for the Victor company, and I have no financial stake in the sales of their products. I am simply an exasperated homeowner who got fed up wih gophers tearing up his property and decided to give this device a try. I had used poison pellets, smoke bombs, water hose, and those silly sonic devices... nothing worked and those gophers were probably laughing at me. With the Blackbox, it's nearly a sure thing. Also, you actually get to see the results with a dead gopher right in front of you, unlike smoke bombs and poison which are always a guessing game as to whether or not they actually did their job. Within 2 day of getting this product, I had already caught 3 gophers. One of those gophers was caught less than 1 hour after I set the trap. Free lunch on my property is now officially over. The key to the effectiveness of this trap is to find a freshly dug up gopher mound. My sure kill method: 1) Find a freshly dug up gopher mound. 2) Dig out the mound until you find the tunnel. 3) Place the activated trap flush with the entrance of the tunnel, with the small round hole (on one side of the trap) facing outward. 4) Cover up the gaps at the top, sides and bottom of the trap with dirt so that it looks like the tunnel extends into the Blackbox, but make sure the opening to the trap is unobstructed from inside their tunnel. The idea is to make the trap seem like an extension of the gopher's tunnel, and by instinct the gopher will head towards that small open hole on the other side of the trap to plug it up (they don't like any openings into their tunnels). Once he enters the trap, it's goodnight Gracie. This trap is so strong that the gopher will be nearly snapped in half. Before getting the Blackbox, I had also tried using a ""Macabee"" gopher trap (the one with the 2 pincers that snap together) but the gopher simply pushed that trap out of his tunnel. The Macabee is also a lot more risky to use and harder to set (in terms of triggering it accidentally on your hand). The Blackbox is safer to use and much easier to set because the trigger mechanism and the killing device is contained fully within the box itself. The Macabee trap can also be dragged away by a dying gopher if it is not properly secured. There is definitely no chance of a gopher dragging away a Blackbox. In summary, I wish I had used the Blackbox from the beginning. It would have saved me a lot of time, money, frustration and parts of my yard. UPDATE Aug-17-2011: I have just posted some pics as proof of the effectiveness of this device. After 13 captures within the first 4 months of use, I have not seen any more gopher activity since April 2011. I guess word got out in the gopher community that there is now a steep price of admission onto this property. …",19 out of 20 users found this review helpful
 Contains a form of MSG!,1,"My son enjoyed eating these bunnies until I realize that they contained ""Yeast Extract"", which contains free glutamic acid...another term for, or type of MSG! I checked the back of the box because I had begun reading a book called, ""Excitotoxins"" (great book for moms by the way), which lists the many forms of MSG and explains what they do to the body. It is associated with reproductive disorders, damage to the brain, damage to the endocrine system, obesity and other disorders. Companies use such additives to food to make them taste better and make them more addictive. Yeast Extract is harmful to everyone, but particularly little children. I was especially upset that this additive showed up in an ""organic product"" and one for children! Many of the other companies out there that produce organic products do not use such additives. Here's an article about Yeast Extract: [...] Here's another site with a listing of all the different forms of MSG: [...] …",22 out of 32 users found this review helpful
