Title,Star Rating,Review,Helpfulness
 Only buy if you are prepared to become addicted!,5,"This is one of those ingredients that people either love or hate - but most people I have served it to love it. The scent of the truffle in the honey is amazing. It is best served with a nutty hard cheese such as parmesan regianno (this is how it is served in Italy) and a mild cracker or bread. I have tried other brands which are also good and sometimes have more truffle flakes, but in side by side comparisons, I prefer this brand. Try this: Take a plain pizza shell with just a light brush of olive oil and some grated parmesan and a sprinkle of sea salt and bake until crisp and then remove from the oven, drizzle with the truffle honey and serve as a appetizer. …",13 out of 13 users found this review helpful
 My little yorkie is 14 years old and developed digestive problems a couple of years ago,5,"My vet gave him a prescription diet which helped him tremendously but he HATED it and wouldn't eat it until he just couldn't stand being hungry any more. With my vet's okay, I started mixing just a little of other types of canned food with the prescription but after a few days I could see he wasn't feeling well and his problems began to return. Finally, I picked up a can of Newman's organic and mixed that with his prescription. Not only did he like it, he was fine! I can't give him this alone - he still must have the prescription - but as long as it is at least half the prescription mixed in, he can eat it every day and he is fine! I was so happy! And so was my little dog! …",20 out of 20 users found this review helpful
 Popchips RULE!,5,"Popchips are really, really good! Don't expect a regular old, greasy potato chip, but DO expect something equally AWESOME that stands on its own. Popchips don't leave any funny residue in your mouth like some other ""diet"" chips, and they don't have a lot of fat and calories - only 100 cal. per single-serve bag! I got the variety pack, and liked every one of the six flavors - some better than others (because I'm not a big fan of cheddar chips by ANY maker, so these were as good as any), but all were good, most were GREAT. Even non-dieters who tried them liked them. It seems like they cost a bit more than the average bag of chips, but maybe that's because I had to buy a case. Even so, they're worth it if you're fighting the battle of the bulge and want a lo-cal indulgence you wouldn't otherwise be able to enjoy. My recommendation: EAT POPCHIPS! …",30 out of 30 users found this review helpful
 Don't bother,1,"Don't bother spending the money. Re-use the pods you already have. I've picked up Rapid Rooters and Dyna-Gro 7-9-5 plant food from a hydroponics store, and I've had no problems growing two batches of lettuce and herbs from my own seeds. …",67 out of 75 users found this review helpful
 Mastered it!,5,"My cat enjoys feeding ****, and my dog loves his big Kong Wobbler so I decided to see if Nugget could manage this toy as a food dispenser. He is very interested in it and periodically bats at it to see if food will come out, but so far he hasn't mastered the necessary technique. We show him how it works by pulling on the attached attractant at the top to spill food out for him. That always gets his interest, but he just hasn't figured it out for himself yet. We haven't given up and are still hopeful that a light will suddenly come on. The concept is fine and the interest is there, but the motivation may not be high enough for a cat. I like the idea of my animals ""working"" for their dinner because it adds interest to their lives. It's what they are meant to do. We will keep trying with this toy and I'll update this review if we are successful. However, at least for my cat who is used to feeding toys and clicker training, this toy requires input from the human(s) in the family. That's not a bad thing. It's too easy to put the food in a bowl and walk away. Interaction is something we should encourage with our animals and the Kong Cat Wobbler requires that in our situation so far. (UPDATE) Nugget has mastered the Cat Wobbler at last and loves it! This took several months with us helping him spill food from it. At some point recently , he got the idea that food would come out if he just pushed it around enough. He uses the plume to pull it over. I love this toy for him because it is a real challenge. Nugget has cerebellar hypoplasia with moderate motor problems. He cannot jump or climb vertically, and he has an uneven gait. For him, any new skill or accomplishment builds confidence and makes him happy. I give him the Cat Wobbler with pellets (not filled because it would be too much food for him) several times a week when we go to bed. I hear him working with it throughout the night; he has emptied it by morning. It was worth the time showing him how to use it because it gives him something interesting to do for several hours at a time. …",15 out of 16 users found this review helpful
" Fresh, good price",5,"I bought several items from Barry Farms, all of which were very fairly priced and arrived promptly. It is not always easy to find pumpkin seeds that are shelled, ready to consume. Pumpkin seeds are chewier than sunflower kernels and can be tough or stale, but Barry's are crisp-chewy. Because I snack on them and toss them in the nightly salad, I haven't added them to homemade crackers, breads and muffins as planned, but I think they'll be ideal for those projects when I order more. …",16 out of 16 users found this review helpful
 Not exactly water like,3,"I often drink vitamin and oxygen enhanced water so I thought I'd try this water due to the trace minerals. This was difficult for me to drink, the flavor is not water like and while it doesn't taste dirty or gritty, it's a mental thing. The water is very very black almost like a strong dark coffee. I'd strongly suggest trying a single serving before buying an entire case because out of 4 people in my family no one really liked it,...that leaves 20 bottles. …",64 out of 74 users found this review helpful
 McCann Steel Cut Oats,4,"SHIPPING As was stated by many others, the shipping for this product is too hard on the cans. Of my four cans, one was nearly undamaged. One had cosmetic damage in the form of a dented side. The other two were dented to the extent of having sharp creases in the bottom and flaws near the seal lines at the top. I never buy cans like those at the supermarket. COOKING The cooking went much better than I expected. The evening before, I put 1/4 cup chopped black walnuts, 10 pitted prunes cut into pieces with scissors, and two cups of water into my saucepan. I brought this mixture to a boil over a simmering-level flame on my propane stove. I dumped in one-half-cup of McCann's steel cut oats and stirred. I waited for the mixture to come to a boil again, stirred it a little, turned off the flame, put a lid on the saucepan, and went to bed. In the morning I was surprised to find that it was perfectly edible with no further cooking. I did heat it up again on the stove before serving but it stuck to the pot, so I think in the future I will microwave it right in the bowls just before serving it. EATING These oats were good, but it was hard to say if they were ""nuttier"" in flavor than the Old-Fashioned Rolled Oats which I had been eating because I cooked them both with nuts. The texture was of course firmer. I do like bulgar wheat and these oats are more like that in texture. Since I was careful not to overcook the rolled oats, there was not much difference in the ""slime"" feel of the two, but the rolled oats were papery much like eating raw oatmeal cookie dough. NUTRITION I found little difference between the nutritional content listed on the McCann steel cut can and that listed on the Old-Fashioned Rolled Oats container. I had to do some Internet research to find the differences which turn out to be subtle but important for certain types of health conditions. There is also the likelihood of the product simply being fresher due to less processing and better packaging at the mill. REPEAT PURCHASE Now that I have found that the cooking of steel cut oats is much less intimidating than I had imagined, I will probably eat these in preferance to rolled oats in the future. The possibility of adding them to soups and other cooked entrees in place of barley or bulgar wheat is a bonus. However, I will probably try a more economical source as I am not convinced that Ireland's soil is superior to that in any other region in which oats are farmed, and metal cans with sharp creases and bent seams don't seem worth the extra cost. …",18 out of 19 users found this review helpful
 Great  taste and texture,5,"Absolutely delicious and so easy to prepare! Just add eggs, milk, and vegetable oil. You can use your bread machine if you put it on the ""Quick Bake"" cycle. It comes out of the pan easily and intact with a crusty exterior/moist interior, and maybe just a hint of sweetness. As for the jalapenos, we don't find them to be hot, but they do add a little zest. We usually enjoy this with a nice hot soup on a cold day. …",19 out of 20 users found this review helpful
 Too much sodium!!!,1,Wow!!! The amount of sodium is simply insane... You eat one of these and you are almost at the recommended daily amount of sodium. You can also taste too much salt... …,14 out of 19 users found this review helpful
 Our Cat's Can't Get Enough!,5,"I heard great things about this cat food by word-of-mouth from several people we know, so we decided to try it out. Our cats, without exception, LOVE EVO cat food. We even purchased a small bag of their dry food locally and they loved that too. I must say that we'll be buying this again and with the price of gas these days, Superstore is a great way to order this cat food and other items. Everything shows up on your porch and no need to search anywhere. I did notice a negative review for this product. With cats things can be a big hit or a big miss. If you can buy one can locally to test things out with your feline friends to see how they'll take to it first, it may be best. Or you can buy a small case and if it doesn't work please donate it to a local shelter as I'm sure they'll welcome the assistance. So far, feeding them EVO 95 percent meat, they still love it and ALWAYS show up at dinnertime two months down the road. We've noticed that our cats' fur is softer too, possible a result of the higher protein content of this food. …",12 out of 12 users found this review helpful
" BAD, do NOT buy!",1,"Chicken by-product, corn gluten meal, and whole ground corn?!! Yeah, I'm NOT feeding my cat that, sorry. Googling ""corn gluten meal"" shows that it is used as an herbicide according to U.S. Patent # 5,030,268. If you Google ""U.S. Patent 5,030,268"" you will find out. By-products are all the nasty parts of the chicken, turkey that humans won't eat: feet, neck, spleen, intestines that have bad effects on health. After all there are reasons why humans don't eat these parts, correct? So why should our pets? A good book that explains about by-products and manufacturing is The New Natural Cat by Anitra Frazier. Because of these ingredients being in most cat foods, I buy Tractor Supply's 4HEALTH INDOOR dry food. Compare the ingredients in the Science Diet food to 4HEALTH and you will see the differences. 4HEALTH is a much better quality product with no corn, wheat or soy at HALF the price. …",13 out of 33 users found this review helpful
 Pork Gelatin,1,"Altoids are made with pork gelatin and the packaging does not give any indication of this. Thus altoids are not suitable for vegans, vegetarians, or individuals who eat Halal or Kosher. Even worse Superstore lists ginger altoids under ""vegan grocery"". …",7 out of 21 users found this review helpful
 Alright... maybe 2 1/2 stars,2,"I got this for soap making. I'm a beginner so I can't really say anything about the quality. I received my bottle today with it in solid form. Granted its around 45 degrees outside, so it was most likely becoming a solid. I guess I'll just have to keep it warm to let it go into liquid form. ALSO the biggest complaint I have besides it being in complete solid form is that there's a huge bubble meaning its definitely not a full one quart as advertised. On top of that the bottle seems incredibly cheap. We'll see how the quality is when I start making soap. …",1 out of 30 users found this review helpful
 The Best Chips...PERIOD!,5,"You don't need salt to hide the taste of potato chips. And these chips prove it. The taste of the potato comes through, instead of being masked. OK, so they're still a snack food, but no salt and no trans-fats mean these are about the healthiest potato chips you can get. And if you're on a low-salt diet (like I am), having these available means I can eat chips, and Kettle are just the best. …",13 out of 15 users found this review helpful
 Menopause Relief,5,I wanted a natural product to help with hot flashes and night sweats. This makes an INCREDIBLE difference in my quality of life and sleep. I had significant decrease in symptoms almost immediately. I let it steep in my cup for about 5 minutes. I had trouble with the taste so I add sugar and a little peppermint extract and it is a very pleasant drink. I have a cup morning and evening and now am able to sleep much better. I also find I am not exhausted and dont have that anxious feeling. I would advise anyone to try this as it has helped me so much. …,16 out of 16 users found this review helpful
" Planted, now waiting",4,"Tiny little things! There was a very small packet of seeds, like grains of sand, maybe smaller. We planted them and are waiting to see what happens. …",0 out of 14 users found this review helpful
