Title,Star Rating,Review,Helpfulness
 A good way to prepare and store your SACO milk,4,"I decided to switch from grocery store milk to SACO's powder for mathematical reasons. As a single lady who uses milk primarily for my tea, I rarely finish a one-gallon bottle before it sours (hate that race to use it all!), and buying half gallon containers absolutely bugs me, as it costs five bucks for two (purchased one at a time) instead of three skins for a single gallon. Plus, there's the inconvenience of schlepping to the store every few days for another half-gallon. I'm a ""stock up and go shopping as infrequently as possible"" type. Here's my solution for mixing and storing SACO milk. 1.) Buy two plastic half gallons of store milk and rinse the bottles out thoroughly when they're empty. 2.) Mix up a quart of SACO in a large Pyrex (glass) handled measuring cup and use its convenient spout to pour the milk into an empty grocery bottle. Repeat the process. (Note: having the Pyrex device clearly marked off in red sure makes measuring the powder easy. Just start with 8 oz. of SACO, then add water to the quart line.) 3.) Put the cap on the filled bottle and vigorously shake this half-gallon to assure all the SACO has dissolved. Refrigerate. (A bottom shelf is best, as it's colder.) 4.) When you get down near to the last of that bottle, mix up a second one and refrigerate it. This way, you'll always have a supply of milk on hand. Rinse out the first container when it's empty and leave the cap off. Give it a quick rinse just before re-using. I chose grocery bottles for storage as it satisfies a life-long habit of pouring milk from one. Since I'm no longer buying one gallon jugs, lifting and pouring from these smaller bottles is much less of a strain, and I have YET to throw away any milk mixed from powder because the half-gallon spoiled before I could finish it all. If you've never before experimented with instant non-fat milk but are thinking along the lines of this review's first paragraph, give SACO a shot. Those two half-gallon bottles I suggested just may be the last milk you'll ever lug home from the market. …",19 out of 19 users found this review helpful
 Give it time,5,"I adopted a dog that was raised by a bunch of frat age boys. You can imagine the diet she had; Burgers, fries, ice-cream, and the cheapest dog foods on the market. No, she wasn't crazy about Newman's dog food when I switched her to it. But if you think about how people react to a healthy diet in the beginning it makes sense. It takes time for the taste buds to adjust and not want the artificial ingredients put into most of the food out there. It has been almost a year. My dog, Molly, is bouncy and healthy and almost allergy free. She gets dry Newman's fed free style, and 4 ounces of Newman's canned every day. Her weight stays stable at 65 pounds which is perfect for her. Her treats are real meat jerky strips a few times a week. On another note, this diet has made doggy duty much easier. She never vomits anymore. Her scat is always firm, making her easy to clean up after. She is regular as clock-work. All these plusses make it more enjoyable to be a dog owner. …",35 out of 35 users found this review helpful
" As a Red Bull Enthusiast, I Highly Recommend This!",5,"This is an excellent, cost-effective alternative to Red Bull. The flavor is spot on--even though a purist may be able to notice the difference, I was very pleased with how close this comes to the real deal! For the price, two cans of the real stuff almost pays for 12 liters of this. Also, with this syrup, you have the option to how strong or weak you'd like to make each serving. I find that I can add less than the recommended amount and make this mix go even further. I think you would be hard-pressed to find a cheaper alternative that tastes so close to the original. …",32 out of 34 users found this review helpful
 Waste of my money.,1,"The Nutiva coconut oil was not moisturizing, which wasn't a surprise since oil doesn't moisturize, it just coats whatever you put it on. As such, once you moisturize your skin then apply coconut oil, this can help slow down the evaporation of the moisture into the air. That is great if you are less than 30 years old. At 50+ I actually want and need moisture. I used this product faithfully for 6 weeks and all it did was smooth my legs for about an hour and then they were parched and dried looking again because I hadn't actually added moisture. My legs also felt greasy and had a faint odor of coconut. I don't really want a 2-step process of using a moisturizer on my legs then coating them with coconut oil. As a face moisturizer it just made my face break out (yuuuuck!). As for the taste, I'll just say that butter has nothing to fear from this stuff. I really can't believe I fell for the hype and wasted my money with this purchase. …",8 out of 37 users found this review helpful
 My Lab loves it,5,"My Lab has always been an extremely aggressive chewer, to the point where we don't dare get him any plush chew toys any more because they'll be shredded on the first day. We got this for him when he was about 4 months old and he showed no interest in it. He much preferred the Nylabone Dura Chew Wishbone Wolf instead. This was simply too big for him and he preferred other chew toys that fit his smaller jaws better. He's now 7 months old and he's grown to the point where he LOVES this Nylabone. It's super hard so it'll last a very long time for even the most aggressive chewer. As with any hard plastic chew you need to supervise: throw it out before it gets too small. …",12 out of 12 users found this review helpful
 Awful,1,"These things are awful. I was thinking I would be getting a soft, moist chocolate cake with creamy filling - similar to a hostess cupcake but with the ""oreo taste"" - these things are awful. The cake is stale in its consistency - this is not an old or opened package - bought em soon as they hit stores. The icing is about the same as the cookie - not creamy. The cake part is really just plain awful!! Stick to hostess cakes or plain oreos. …",10 out of 18 users found this review helpful
 33.8 better than 11.2,5,"the liter 33.8 oz containers, which are from Thailand coconuts, taste the best. the ones in the 11.2 oz containers, which are from Brazil coconuts, have an odd after taste. although the brazil ones arent bad, they just are not as good as the thailand ones provided from ZICO, atleast. …",31 out of 34 users found this review helpful
 Horrible Product and Company,1,I ordered this product for our vacation home in Colorado. We arrived in Colorado December 16th and this coffee maker stoped working January 3rd. It is now January 13th and I have yet to talk to someone from the company after being put on hold for over 40 minutes 4 different times. I love the concept of the K-Cup but they need to fix the water pump on this machine and fix the way they handle customer service and returns. …,9 out of 13 users found this review helpful
 FINEST BLEND OF sTROGANOFF IN DELICIOUS SAUCE,4,"Outstanding gourmet taste: the blend of mushrooms, steak and sauce is tantalyzing. The orders could be divided, so that the entire order doen't have to be defrosted at once. Possibly divide the large portion into three or four smaller ones. As it stands the order is easily microwavable. …",21 out of 22 users found this review helpful
 Had a bad problem - now it's solved and the Babycook works fine.,4,"This is the first product review I have been compelled to put on Superstore. Bought this because most prepared baby food is disgusting and I wanted an easy way to serve fresh food to our son. This product was highly reviewed and I like gadgets so it seemed like a good fit. It worked well in the sense that it was convenient and cooked baby food, but after about 3 weeks, I noticed that the water used for steaming was brown and sweet smelling. I looked in the reservoir and noticed brown grime on all of the metal and a sickly sweet smell. I assumed (unfairly) that my mother-in-law had mistakenly put food into the reservoir hole and then was embarrassed to say anything, so I cleaned the unit with vinegar as per the instructions and tried again. We've only had the unit since Feb 2010, use it only 2-3 times a week and now had the same problem 3-4 different times. The water used to cook the food is brown and disgusting and I have cleaned (physically scraped) brown grim the reservoir multiple times. I have contacted Beaba and they have suggested that it's a descaling issue and to descale the unit once a month. I completely disagree as we have had the same coffee maker for three years and never descaled it once. I don't know if food is being spun into the reservoir or what, but at this point, we have a $150 baby food maker that we are afraid to use. What's the point of fresh baby food if it's covered in some kind of unknown detritus? Beaba has so far been unresponsive about a replacement/ repair. Will update with any new developments. Update 2/25/11- this is an update to the review above. I'm not sure, but now think the problem of the brown water had to do with not properly using the plastic cover when blending the food (aka user error) allowing particles of food to enter the water chamber and be subsequently reintroduced into the baby's food. I say this because while no one in my family would admit to not using the plastic screen when blending, as soon as I reiterated that everyone should be using it, the problem stopped and we have used the Baby food maker without incident since. So not sure what caused the problem, but it seems to have gone away recently and we are now happy with the product again. I revised my rating to 4 stars. …",84 out of 87 users found this review helpful
