Title,Star Rating,Review,Helpfulness
 Never received,1,I never received this item because you never got it in to ship to me. …,2 out of 38 users found this review helpful
 Can't Beat Nutiva's Organic Coconut Oil for Taste or Texture,5,"I first tried coconut oil last fall after reading The Coconut Oil Miracle (***highly recommended book***) and Nutiva's Organic Coconut Oil was the first I tried. It spoiled me completely. I've since tried two other brands and NOTHING tastes as fresh and light as this oil. It has a nice coconut flavor and personally, I love the taste it gives fried eggs and even pancakes. I also used it to make a pie crust (after chilling the oil slightly to compensate for the friction of working the pie crust) for a coconut cream pie and it was out of this world--flaky and delicious!!! Like another poster, I also like it spread on a toasted English muffin and then topped with a light drizzle of honey. Our family has changed our eating habits in the last year and now we use only 3 fats: 1. Coconut Oil 2. Butter 3. Extra Virgin Olive Oil (but only raw---never with heat!!!!--use the coconut oil or butter for fried & sauteed foods). Our general health is much improved; my husband's cholesterol levels are finally dropping (after YEARS of using ""SmartBalance"" and other ""healthy"" spreads that just raised his cholesterol). Try this coconut oil and do yourself a favor and order Coconut Oil Miracle (Previously published as The Healing Miracle of Coconut Oil) so you can understand why it not only tastes so good, but is so good for you! …",48 out of 50 users found this review helpful
 Gave my son back his Valentine's Day fun...,5,"Valentine's Day is the hardest day of the year for my 9-year-old. He has a sensitivity to red dye 40. Almost all the candy you buy has it in it. M&Ms have it - IN THE CHOCOLATE. Most chocolate cake mixes have it, but worse... all that red candy you get from your classmates? Yeah... it has it too. Luckily, his sister will usually trade him for things that he can have and the families that we know will try to make sure he gets something (like one specifically got green fun dip for him - I mean, how sweet is that?). We always give away little party favor toys or something and skip the candy all together, but... He had been really down about the candy issue and Valentine's Day and I went looking for something he could have. Surely, there's a red hard candy that doesn't have red40 in it, right? Yeah, you'd be surprised... it's not easy to find, but I ran across this product and ordered it. As a bonus, it has a good chunk of Vitamin C, doesn't use HFCS (all natural sugars and other ingredients). Sold! But, will it be nasty? Oh well, we had 150 lollipops to find out! ... and they are good. REALLY good, they are just the right amount of sweet and tartness. I had to move them off the counter because I kept dipping in there myself. My son LOVES them. He can have strawberry flavored candy again. I know this sounds simplistic and overly dramatic, but when you are 9, it can be really depressing. But yeah, he has to share with the rest of the family too because we are all hooked. Thanks, YummyEarth. Thanks for giving my son back his Valentine's Day :) Note: The container we got only had 3 flavors in it, but it didn't matter, but be aware when ordering that your selection of flavors will vary. …",17 out of 17 users found this review helpful
 Made in China!!!,1,"I loved these until I found out they were made in China. After they tainted baby formula, there is no way Im gong ot give these to my child. …",7 out of 14 users found this review helpful
 Tasty but Burnt and Salty,2,"OK so pretzels are supposed to be salty, but these are a tad too salty. They also have a burnt flavor. You could say this is a distinctive smokey flavor, but 12 bags ahead of you with the prospects of an unsatisfied pallett is a mighty tall order. On the other hand the subtle sweet flavors are good. This is not your ordinary pretzel try them in safety first (instead of buying 12 bags). Also note grocery items cannot be returned to Superstore! …",29 out of 37 users found this review helpful
 Natural Calm Magnesium,5,"I have used this product before in the calcium/magnesium blend. It was suppose to be tasteless. It wasn't. It tastes awful. This lemon-raspberry tastes okay and the product is more reactive when the hot water is added. I was medically advised to take my magnesium in this form because of slipped disks in my back. This is only one piece of my back program however I can attest to the efficacy of the product. My disks are no longer slipped. It has helped me to heal. A bonus benefit for me is that taking the magnesium in this form has stopped the migraines that I have had for 36 years of my life. I have learned that if a headache begins that I need a dose of Natural Calm. I was dealing with a magnesium deficiency. I would highly recommend this product to anyone with muscle or joint issues, migraines,and back issues. Calm Raspberry Lemon Flavor 16oz, Natural Vitality …",94 out of 120 users found this review helpful
 Bad expiration date,1,"Creamers had a very short expiration date. When purchasing 180 of something, I don't expect to use them in 2-3 weeks but that is when the expiration date was. Will not use this seller again. …",15 out of 15 users found this review helpful
 My Dog Loves This Food,4,"I have a 12 year old golden retriever. I have been feeding him Happy Hips treats for almost a year hoping the glucosamine helps with his arthritis. He eats the treats like crazy. I like the fact they are apple, banana, chicken and sweet potato. They are healthier than store bought treats. I have the same hope for the chicken & oats dry dog food. This dog food came the other day, I cut the bag open to dump it into a plastic tub and by mistake I tipped it over a little and some of it went scattered all over the floor. Well, my dog with the arthrtis jumped right up and cleaned up the floor in no time, tried sticking his head in the bag and then wagged his tale licking my face. If this is as good as the treats, I know it will help with his arthritis. Superstore is the cheapest I have found for this food, plus the free shipping is a bonus. I bought mine when Superstore had a 20 percent promotion so it was an added bonus. Thanks Dogswell and Superstore. …",12 out of 12 users found this review helpful
 Not Vegan..,1,This product is not a vegan product. Vegan would not consist of casein which I do not understand how they can label it such especially with people with allergies.. …,8 out of 12 users found this review helpful
 BLK is AWESOME,5,"I initially bought a bottle of BLK from a local retailer and was intrigued by the bottle and color. This is now my beverage of choice after I wake up in the early morning and after a hard workout on the road or gym. The BLK spring water needs to chill very cold and becomes extremely smooth and has little taste, just very refreshing. I read others reviews and am truly unsure if we are drinking the same product..... BLK is OUTSTANDING! …",4 out of 15 users found this review helpful
