Title,Star Rating,Review,Helpfulness
 Magically delicious!,5,"This is the most magical beef jerky I ever ate. It came in many a paper like sheet, and everyone at work loved it. Right after eating aforementioned jerky, I turned into a cow, and spent the rest of the day having a crazy adventure, during witch I stopped a swarm of evil grass from taking over the world. It began when I over herd a rouge blade of grass discussing it with a clover, who he had been ****. I followed him, and finding their hide out, located under the upside down kiddy pool in my yard, I devoured the lot of them. After saving the world, I turned back into a human, and had another piece. It did not happen again, but it must be like Narnia, and when the world needs the cool cow again, I will be ready, watching, and waiting. Oh, and ordering more of this jerky. Review guidelines: Make it fun! Who says you can't be informative and entertaining? How about a little action? If it makes sense, cut to the product in use as you describe your experiences with it. …",7 out of 16 users found this review helpful
 best korean ramen,5,"It is my favorite noodle It's korean ramen. taste good, and easy to cook. and little cheaper than korean market or korean grocery website and free shiping when I ordered it. …",24 out of 28 users found this review helpful
" Tasty and filling, but not low calorie if eaten as a lunch",4,"This is a tasty sweet-ginger curry with chick peas and a few chunks of potato. The sweetness comes from the chick peas themselves, smartly brought out by the spices chosen. The texture of the vegetables is surprisingly good - modestly firm, not an unrecognizable mush. Unlike most prepackaged meals, I don't mind it cold, though it only takes two minutes in the microwave. Each package has 480 calories, which is rather incredible for just 10 ounces of Indian food with no ghee or paneer. In fairness, it is high in fiber and protein and low in bad fats, so it is probably an ideal choice for skinny vegans/vegetarians. But for those like me that eat plenty of dairy and meat but are trying to keep a few meals light but flavorful and filling, there are better options, particularly the Dal Bukara (340 calories) and Rajma Masala (270) by the same maker and several options from MTR or Tasty Bite. ETA: I understand it's technically 2.3 servings, but my original review was geared in terms of a quick office lunch, which is how I most often consume shelf-stable foods like this. For me (tall male), 10 ounces of food is about what I expect for lunch. So I still eat this, but usually as an addition to a family meal with a couple of other dishes and rice. In that context, I full endorse the recommendation of other commenters to heat with a can of regular chickpeas (drained), ideally after sauteing a bit of garlic or onion. The flavor spreads nicely, plus it's a bit healthier and cheaper that way. …",44 out of 44 users found this review helpful
 Great!,5,Ayahuasca Vine alone will not give any pleasant or interesting trip. But combined with mushrooms or DMT it will give an intense trip. This special combination is capable of inducing a powerful psychedelic experience because the MAO inhibitor present in the Ayahuasca preserves the DMT. DMT is a psychoactive chemical which produces intense visuals and strong psychedelic effects but is usually rendered ineffective when taken orally because it is easily broken down by the body's MAO enzyme. …,6 out of 16 users found this review helpful
 I am so disappointed with this company - buyer BEWARE indeed,1,"After reading the reviews here stating that the Iron content of Ella's Kitchen Spinach packs was incorrect, I checked out their website to see for myself. Hmm.. no announcement there stating that an error had been made. So, I contacted the company wondering if it was a misunderstanding. No, it's true. The Spinach flavor only has 4-6% DV of Iron... NOT 120% as has been clearly indicated on the pouches I have been buying for my son for OVER A YEAR! I have been purchasing these packs by the case thinking that if my son did not eat enough other Fe-rich foods on a particular day, at least he would eat this. I mean you know how difficult it can be to get little ones to take in enough iron, so I thought this was a great option. IF I HAD KNOWN that it only contained 4 or 6%, then I would have given my son other additional Fe-rich foods or continued making my own purees. I guess I should have known it was too good to be true when I noticed that the first ingredient is in fact APPLES not Spinach as the front of the pouches would have you believe. What upsets me the most is that there is not even a warning or announcement on Superstore or at Target stores stating that there has been a mistake?!! If the company knows, why isn't this info passed on to the consumer?!!? Here I thought I was purchasing (a more expensive) but also more nutritionally complete product for my baby and to find out it's just as void of nutrients as all of the other brands on the shelves. I really thought this company was exciting and different and focused on kids' nutrition and health. I guess not. I am asking for a refund at the very least. Honestly, the company is lucky if parents don't decide to take up a lawsuit for their negligence in getting the word out. The incorrectly labeled packs should be recalled like anything else- not left on the shelves to trick parents! Normally, I am not one to overact and am certainly not litigious in the least. Humans (and companies run by humans) make mistakes. It's natural. But as a physcian and a mother, I am really annoyed by the lack of respect shown to consumers in failing to notify the community of this error. …",13 out of 13 users found this review helpful
 Received Wrong Mix,1,"I ordered the 9 Grain Mix but received the European Cheese and Herb Mix. I should have sent it back but instead, I baked a loaf of the Cheese and Herb bread. My mistake. It baked nicely but the crust was tough and chewey and I was not impressed with the flavor. …",2 out of 17 users found this review helpful
 Definately worth it,5,Every variety I have tried has been flavorful. There are no funny after tastes like with some other products. I would highly recomend. Great individual serving sizes which helps for 'good for you' snacking and portion size. …,15 out of 16 users found this review helpful
 Why would anyone buy these?,2,"I bought these to try out based on good Superstore reviews which made them sound like some kind of wonder bars that were healthy and would make you happy for eternity (or something). I bought two flavors of these kind bars to try out. One was borderline gross the other decent. Here's the thing though: these are overpriced and not healthy. Let me explain: These are marketed for people are paranoid about what they eat. It's marketed to the same people who buy organic milk, produce and always look for things like ""gluten free"" etc. Most of this product is marketing and selling an image. I'm sure this is free of whatever they think at the moment might harm you. You might get the impression then from their advertisements that these are healthy. They're not. They may be gluten free but they're high in sugar and calories. Despite having so much sugar and carbs you can't even taste it. One of these bars is ~200 calories and is almost completely carbs (and some fat). In addition, if you calculate it out, it's more than a dollar per bar. You could buy the ingredients for these bars and put them together without the sugar and it would be much more tasty and healthy. Just save yourself the money and buy the ingredients. Bottom line: These are just overpriced, unhealthy (but not tasty) snack bars whose strongest selling point is the attractive packaging and feel good marketing. It's amazing how much they cost too. I'm guessing it's mostly in the packaging and marketing. …",2 out of 13 users found this review helpful
 Truly Cures or Helps Most Stomach Problems,5,"A miracle in my life! I tried this out of desperation, and it really does work. Over 20% of Americans suffer from Stomach problems and Doctors truly cannot help. They will give you tests, limited diets, medicines and generally albeit Innocently...they do not help. This is not weird Health food, it truly works. Plus it is good. Over the years...I have had chronic gastritis or IBS and or maybe an ulcer. Knowing that Medical intervention is limited at best, I sought alternative means of helping myself. Read up for yourself and you will understand how incredibly simple and logical this is. Plus it is delicious. I take a couple lg teaspoons /day, am careful about what I eat and have experienced an amazing recovery. Try it yourself, you can't loose. …",32 out of 32 users found this review helpful
 0 cal lifewater is the best,5,"I can't find enough of this stuff... It's either becoming very popular or is very under stocked, since I find myself cleaning out the entire stock of the two stores nearest me on a weekly basis. You should be able to find this for 99 cents.... beware, some places charge significantly more. Great for diabetics like me, and very refreshing after a swim or hockey game. I like all the flavors except the red colored ones, acai, and yum berry, which remind me too much of hawaiian punch. I have a lot of food allergies too, but haven't had any problem with any of the 0 calorie lifewaters. I'm a natural skeptic and had to look up the ingredients before adopting something that seemed too good to be true. The sweetener used in this stuff is called Erythritol, which from what I've read is a natural substance from fruit and doesn't have all the side effects other sweeteners do, like promoting cavities, obesity, diabetes, or diarrhea. I took it easy at first because i have sensitive bowels, but have found that i can drink this stuff from morning to night and not have any trouble. Although as with anything I eventually get bored and have to switch back to ice tea for a while. I can't say the same for the regular lifewaters or any other beverage except unsweetened ice tea, and water, which get a little boring after a while. This stuff has helped me kick the soda habit and reduce my appetite... thank you sobe! It would be wonderful if I could have this stuff delivered by the case instead of having to go hunting for it a few bottles at a time. …",11 out of 13 users found this review helpful
 Would not buy again,1,"I bought these to take by mouth, but after seeing the thick covering decided I didn't want to ingest that material--then decided to use the oil inside the capsule on my skin. When cutting a small hole and squeezing out the oil, I noticed a small pellet that wouldn't melt on my skin in almost all the capsules. Not sure what that material is, but am glad that I decided not to take them internally. Also after doing some reading on Titanium Dioxide (listed as an ingredient)found that it is ""Classified as Possibly Carcinogenic to Humans"" by IARC. Now I plan to stop using it on my skin and throw away the rest of the bottle--should've done my research before buying. …",22 out of 44 users found this review helpful
