Title,Star Rating,Review,Helpfulness
 Great value!,4,"I have purchased more expensive truffle oils before and they have all been wonderful, so naturally I was skeptical when it came to a ""cheaper"" price. This has a nice taste and with any truffle product-- a little goes a long way! The oil they have used to infuse with the truffle is grape-seed and it is really nice to cook with. Weather on a budget or not, I give this product a thumbs up! Hope this helps! …",22 out of 24 users found this review helpful
 No more non-GMO on label,1,"Bought the nacho chips regularly for my kids but the last delivery came and there was not a non-GMO label on the package anymore, they still use organic corn but use non organic canola oil and any non organic canola is most likely Genetically Modified, which is something I do not want in my body. Will not buy this product again. …",12 out of 14 users found this review helpful
 DOG SAYS: DELICIOUS -- MOM SAYS: MADE IN CHINA!,3,"Like a previous reviewer, I, too, am concerned over the product being made in China. It looks like a very healthy product and my dog loves it but I only care to feed my dog US-based products so that I can ensure the high quality that he deserves. …",24 out of 25 users found this review helpful
 Do not order this product....,1,"It has been over three weeks and I still have not received this product. And, they have charged me for it already... …",0 out of 12 users found this review helpful
 One of the great cheeses of the world,5,"The only real Parmigiano (Reggiano) is one of the great cheeses of the world. The best Reggiano (there are different grades of Reggiano, too) is much more than a grating cheese--it is a cheese that can be eaten by itself, before a meal or after. The best grades of Reggiano are best shaven paper-thin (use a good cheese plane) and will have a slight pineapple taste when savored slowly. This cheese is a real treat! …",26 out of 31 users found this review helpful
 Menopause Relief,5,I wanted a natural product to help with hot flashes and night sweats. This makes an INCREDIBLE difference in my quality of life and sleep. I had significant decrease in symptoms almost immediately. I let it steep in my cup for about 5 minutes. I had trouble with the taste so I add sugar and a little peppermint extract and it is a very pleasant drink. I have a cup morning and evening and now am able to sleep much better. I also find I am not exhausted and dont have that anxious feeling. I would advise anyone to try this as it has helped me so much. …,16 out of 16 users found this review helpful
 Dark Magic is my kind of Magic,5,"Green Mountain's Dark Magic Extra Bold is my go-to coffee for use with my Keurig coffee machine. I go through more of this particular flavor then any other type of coffee. In fact I don't think a day goes by that I don't have at least 1 cup of this flavor, if not more. Don't let the words dark and extra bold scare you off - this coffee is rich, smooth and in many ways mellow. Its not overly acidic, it does't taste burnt, its just a good cup of ""coffee flavored coffee"". It works well with most flavored creamers, sweeteners, but is a pleasant cup in its pure and unadorned form as well. …",17 out of 18 users found this review helpful
 My Wife Loooooooves it.,5,I took a chance; it was the first time I tried a kit wine ( I make mine from fuit etc.). This wine is sooo good my wife and I were constantly testing it before it was finished clarifing. It makes 6 gallons but after all the tasting we only were able to bottle about 4 gallons. This is great fruity tasting and refreshing wine. If you don't want your kit I'll buy it from you. Our stock is running low. …,11 out of 12 users found this review helpful
 Fantastic Blend for Fast Growth....,5,"REVISION: Below I said to stop using Nitrogen later in the season, but I have had to adapt that recommendation. Over the last two years, early blight has stricken tomatoes nation wide, including places where it was relatively rare like New England. Entire farms have been wiped out, especially organic farms. Early blight can be treated with a fungicide, but you need new stem and leaf growth to compensate for the leaves and stems lost to blight. You will have a smaller crop at the end, but losing the plant will result in many fewer tomatoes. I found after several of my plants succumed to blight (no tomatoes, a couple of branches of leaves, etc.) that providing the rest a good dose of late season nitrogen helped them enormously. So, I would suggest now, until the early blight has run its course (maybe never) you should use Miracle Grow Tomato Plant Fool all season and don't try to overinduce the flowering and yield of your tomatoe plants. Two live healthy plants with average yield are way better than one dead one killed off by blight. Watch for youtubegarden , for more info. -------------------------------------------------- I always plant with manure (raked into the soil, about one 25 pound bag of dehydrated manure per 10 plants, about 2 feet apart and spaced 3 feet per row) and some fresh garden top soil (just placed in the hole where the plant is, not throughout the garden). If you remember, it is good to mix in lime as well about a month or so before you put the tomatoes in the ground. It helps by providing calcium to the plants and helps prevent blossom end rot. Although, I rarely have had any problem with that here, it can depend on your soil, so better safe than sorry. If you forget, don't worry, things will work fine without it for the most part. I plant the tomatoes deep, relative to the size of the plant. 1/3 down into the soil or more depending on the size. Before I do I place fresh garden top soil in the hole and water it. Then I place the plant firmly in the muddy mixture and surround it with more fresh garden top soil. I have not found that different brands of gardening soil are better, so any cheap bag at your local gardening shop will do. I have never lost a plant doing this. People talk about other ideas like using 80 degree water to water the plants or using special techniques to keep from hurting the plants. But I have never used any technique like this. Hose water is fine as is rain water. I do not fertilize my tomatoes until a couple of weeks have passed and they have rooted and grown a bit. I let the manure, new garden soil and lime do the job. After that, every two weeks, I apply Miracle Gro, and when I do, the plants are more vigorous, grow faster and I have fewer problems with the plants such as discolorations of the leaves or bug infestations. I have heard numerous folks say to use less or more than the directions, but you know, the 1 Table Spoon per Gallon of water always has worked for me. About a gallon for every three plants when they are young. A bit more when they get to be 2 feet or more. The box does twenty plants for the period of the season I use it. I use a bucket or watering can for mixing. I have not had good luck with the automatic dispensers attach to the end of the hose and it seems to waste fertilizer. But your mileage may vary. When the plants first start to show fruit and have reached about 3 feet, I stop using Miracle Gro and switch to a no-nitrogen fertilizer. I find that by the time the plants are 3 feet tall, their root growth is fantastic and their leaf production is strong, so I want to focus on flowering and fruit production. Something that reads 0-10-10 or even higher is fine. Just absolutely no nitrogen. I have tried other fertilizers for my plants. Nothing has worked better than Miracle Gro and some brands seemed to not work at all. I have always been satisfied with Miracle Gro and stick to it for great tomatoes and strong plants. …",34 out of 35 users found this review helpful
 some cans were dented,3,"some of the cans were dented and from the pressure the lids were removed...the product wasn't wrapped good for dilivery...i use this milk for my one year old child, which i cannot find in near by stores …",4 out of 12 users found this review helpful
