Title,Star Rating,Review,Helpfulness
 1 down 47 to go,3,Too bad no one else had reviewed this before my purchase. It's not bold or dark enough to stand up to the Keurig's 3rd button and tasted a little tangy for my liking. …,13 out of 15 users found this review helpful
 Excellent resource for increasing your milk supply,5,"My milk supply began to decrease significantly after I started back to work (my son was about six month's old at this time). I took -- and still take, 3 tablets of fenugreek and blessed thistle each per day at least twice a day. If I am not able to pump, I add another round of the herbs and let my son nurse more, to keep my milk supply going strong. This is a wonderful blessing to know that my milk supply can easily be reestablished, if stress, schedule or other factors inhibit our desire to feed the old fashion way! Five stars for fenugreek (and blessed thistle, too!) As a side note, the lactation nurses have told me, that these herbs do lower your blood sugar, so they should be taken with food. I say that from experience. All in all, it more than met my expectations. …",40 out of 41 users found this review helpful
 The best oil for popping corn!,5,"This popcorn oil is the best for popping corn anywhere. I have used it at home in my PopStir (similar to WhirleyPop) on the stovetop and at school functions in a commercial popcorn popper. If you use this oil, you probably won't even have to add any butter to the popcorn after it's popped - so no cholesterol and less fat. A special feature of this product: It will NOT form black ""varnish"" inside or outside of your kettle - be it a commercial machine or a home version - it is a clean oil. This oil is solid at room temperature, and you will need some sort of scoop (as an ice cream or cookie scoop) to measure it out of the container. This oil gives popcorn the fragrance, taste and COLOR of commercially popped theater popcorn. You won't regret your purchase of this item. …",33 out of 33 users found this review helpful
 About half the claimed weight!,1,"While the variety was interesting, the description was highly deceptive. The weight was listed as 5 pounds, but adding the weights from the candy included yielded only slightly more than half of that, at 2.8 pounds. There were, as claimed, more than 30 pieces (35), but only six were full-price/size chocolate bars. Much of the rest was cheap filler, not the full-sized pieces touted in the description. For example, there were several types of gum included, as well as small pieces of taffy, and many items weighed less than half an ounce (in one case, a tenth of an ounce). The actual value of the candy appeared to be $10 to $12, at most, and the presentation--thrown in a printed carton with a single sheet of crumpled paper--was certainly not worth the rest of the price. Many items looked shopworn due to this poor packing, and all brittle items (such as Necco wafers) arrived in fragments. Anyone receiving this as a gift would assume that the giver spent about $15 on it, not $40. I feel cheated. …",26 out of 28 users found this review helpful
 for fretting felines and canines,5,"This 100% natural product for cats and dogs going through stressful times includes the same active ingredients as those for the relief of tension in some natural human formulas, like valerian and chamomile, and also apparently has a good taste, as a dropper full of the liquid in food is devoured with relish; it also includes passion flower and fructose, which is probably why it has a sweet aroma, and adds to the palatability. Other ingredients are hops, scull cap, and inert ingredients include deionized water and sodium benzoate. I've found it very useful on two occasions, once when trying to catch a young feral kitty, and secondly, to relieve the anxiety of my devoted eight year old Liddy when introducing the young cat into the household. Also good for pets that are nervous travelers, and those few animals that get upset when being groomed. Richard's Organics Pet Calm claims that it ""Treats short-term stress"", and in my situations, it has worked beautifully. Depending on the size of the dog or cat (1 dropper = 1 ml. / Up to 40 lbs., 1-4 ml. / Over 40 lbs., 3-6 ml.), there are a lot of doses in this 2 oz. bottle, and I think it's an excellent value. Liddy, Maggie and I are very satisfied customers of this product, which has made our lives easier and more peaceful. …",15 out of 17 users found this review helpful
" Fast, easy and excellent espresso",5,"In about 3 minutes, this machine grinds the beans (no separate appliance needed for that!), tamps down the grind (no separate tool for that!)and produces foamy hot espresso. Plus, the steam is strong enough to foam up 2% milk! Everything cleans up in a flash...second cup, no long wait. If you like strong coffee set the grind about four clicks from the maximum setting and the setting for amount of coffee for each use at the max. Lovely. …",19 out of 20 users found this review helpful
 WHAT'S A PIZZA WITHOUT ANCHOVIES ?,5,"As far as I'm concerned a pizza just isn't worth eating unless it's generously decorated with anchovies. However, I'm the only one at our house who feels this way. On weekend nights we frequently order in from our favorite pizza place, and since I must have anchovies I keep these on hand to garnish my share of the pie. (Never would dream of imposing my educated taste on others ;-) We've tried other brands - the ones packed in oil tend to fall apart; others have been tasteless. These have a rich flavor and are meaty enough to hold their shapes. They're the best we've found. …",13 out of 13 users found this review helpful
 Start your morning with a roar,5,"Move over coffee, I'll take some Morning Thunder. When my doctor told me I had to seriously limit my coffee, (from 3-4 cups a day to 1 or 2 cups per week) I despaired. How could I have the energy I craved to jumpstart my day without coffee? I tried various teas and coffee substitutes with limited success. When I found mate, I knew I was half-way there because I liked the energy, but I longed for stronger taste. Hence, when I found Morning Thunder, with half mate and half black tea, I rejoiced. A steaming cup of this, graced with soy milk, is truly a gift from God. Enjoy! …",15 out of 15 users found this review helpful
 Great Product In Wrong Container,5,"Undoubtedly, the purchase and use of stool softeners would plummet if everyone, including physicians, considered magnesium. Fact: An insufficient amount of magnesium in the body is a primary cause of constipation and hemorrhoids, yet most physicians unwittingly recommend stool softeners. Fact: By taking your measure of Natural CALM daily your constipation will quickly subside. Friends, before you devour any more medications why not try a natural remedy? Natural CALM is an easy-to-assimilate powder that when mixed with water becomes effervescent. More effective and absorptive than tablet form, Natural CALM is the best selling ionic magnesium supplement to be found in health food stores to date. Choose natural or one of four flavored varieties. It's all the same healthful Natural CALM. Magnesium is also attributed to curing or moderating all of the following conditions: leg cramps, headaches, hair loss, insomnia, high blood pressure, nervousness, muscular disorders and depression. That is not to say that any or all of these conditions are apt to be remedied in each and every case. Pardon me, but I had to laugh when reading one reviewer's comment that said the product helped her leg cramps but didn't do anything for her sleeplessness. She readily awarded the product a mediocre three stars. Holistic alternatives are of utmost importance, especially--especially as we advance in years. I highly recommend this gluten-free product. You might be surprised at how little you require. Starting with half a teaspoon daily you increase or decrease as might be necessary. Soon you discover your proper dosage. Directions are unclear as to the amount of water to be used: ""Place powder in a glass or mug,"" it says. ""Add 2-3 oz of hot water. Let it fizz, then stir until dissolved. Fill with warm or cold water and enjoy. You can also simply add Natural CALM to a glass or bottle of cold water."" Got it? Neither do I. It's confusing at best. Just how much water to how much powder? It seems that they leave this for us to decide. Then there's the problem with this two-inch wide container. The size and shape may be suitable for stacking on store shelves, but not for home use. You need something wider. Consequently, I transfer the contents into something more sensible. Now I can utilize a measuring spoon, a measuring spoon for the sake of accuracy. Consistent results are what we desire and consistent results require accurate measurements. My dosage being precisely half a teaspoon, I use water (at room temperature) in one measured cup. Directions advise us to heat the water, but I myself do not find that extra chore necessary. I stir and let it settle. Then down the hatch. Need I mention that Natural CALM contains no yeast, dairy, egg, soy, wheat, sugar, starch, preservatives, artificial color or flavors? No fructose added. For further information call customer service at (866) 416-9216. Take charge of your health. Live life to the fullest. …",17 out of 20 users found this review helpful
 Bring Back the Old Formula,1,"New Coke?...seems the Cytosport folks are going to have to learn this lesson the hard way. I'll not purchase Cytomax again until they return to the old formula or at least improve the ""new"" one as it currently tastes terrible. …",20 out of 22 users found this review helpful
